Movie release date,Number of movies,top 10 3grams
The 9/11 Attacks and the War on Terrorism (2001-present),9474,"[(('new', 'york', 'city'), 161), (('film', 'takes', 'place'), 44), (('receives', 'phone', 'call'), 41), (('during', 'world', 'war'), 30), (('gets', 'into', 'fight'), 30), (('world', 'war', 'ii'), 28), (('final', 'scene', 'shows'), 25), (('high', 'school', 'student'), 25), (('spend', 'more', 'time'), 22), (('returns', 'home', 'find'), 22)]"
The Belle Époque (1900-1914),485,"[(('defeats', 'de', 'bois'), 2), (('settler', 'dakotas', 'gets'), 1), (('dakotas', 'gets', 'word'), 1), (('gets', 'word', 'inherit'), 1), (('word', 'inherit', 'large'), 1), (('inherit', 'large', 'native'), 1), (('large', 'native', 'american'), 1), (('native', 'american', 'wife'), 1), (('american', 'wife', 'believing'), 1), (('wife', 'believing', 'lose'), 1)]"
The Civil Rights and Social Equality Struggles (1950s-1970s),4294,"[(('new', 'york', 'city'), 65), (('world', 'war', 'ii'), 44), (('during', 'world', 'war'), 44), (('tawt', 'i', 'taw'), 12), (('united', 'states', 'air'), 10), (('gets', 'into', 'fight'), 10), (('begins', 'fall', 'love'), 10), (('film', 'takes', 'place'), 9), (('world', 'war', 'i'), 9), (('story', 'takes', 'place'), 9)]"
The Cold War and McCarthyism (1947-1991),3072,"[(('new', 'york', 'city'), 66), (('world', 'war', 'ii'), 24), (('during', 'world', 'war'), 23), (('grand', 'high', 'witch'), 14), (('united', 'states', 'army'), 10), (('president', 'united', 'states'), 10), (('los', 'angeles', 'police'), 8), (('gets', 'into', 'fight'), 8), (('decides', 'go', 'back'), 8), (('returns', 'home', 'find'), 7)]"
The Great Depression (1929-1939),2772,"[(('new', 'york', 'city'), 26), (('during', 'world', 'war'), 12), (('world', 'war', 'i'), 12), (('immediately', 'falls', 'love'), 6), (('just', 'time', 'save'), 6), (('little', 'red', 'riding'), 6), (('academy', 'award', 'best'), 6), (('meets', 'falls', 'love'), 5), (('french', 'foreign', 'legion'), 5), (('story', 'takes', 'place'), 5)]"
The Post-Cold War and the New World Order (1991-2001),4768,"[(('new', 'york', 'city'), 71), (('over', 'next', 'few'), 18), (('film', 'takes', 'place'), 15), (('during', 'world', 'war'), 15), (('receives', 'phone', 'call'), 15), (('de', 'la', 'vega'), 15), (('spend', 'more', 'time'), 14), (('world', 'war', 'ii'), 14), (('live', 'happily', 'ever'), 14), (('start', 'new', 'life'), 14)]"
The Reagan Years and the Rise of Neoliberalism (1980s),3107,"[(('new', 'york', 'city'), 75), (('world', 'war', 'ii'), 24), (('during', 'world', 'war'), 23), (('film', 'takes', 'place'), 19), (('high', 'school', 'student'), 15), (('receives', 'phone', 'call'), 14), (('final', 'scene', 'shows'), 13), (('united', 'states', 'army'), 11), (('one', 'last', 'time'), 11), (('meets', 'falls', 'love'), 10)]"
The Roaring Twenties (1920-1929),1454,"[(('york', 'times', 'overview'), 5), (('meets', 'falls', 'love'), 5), (('new', 'york', 'city'), 4), (('new', 'york', 'times'), 4), (('film', 'takes', 'place'), 3), (('gets', 'into', 'argument'), 3), (('grannis', 'miss', 'baker'), 3), (('american', 'civil', 'war'), 3), (('american', 'film', 'institute'), 3), (('film', 'institute', 'catalog'), 3)]"
World War I (1914-1918),1268,"[(('new', 'york', 'times'), 12), (('york', 'times', 'review'), 8), (('times', 'review', 'summary'), 5), (('fairy', 'godmother', 'changes'), 3), (('live', 'happily', 'ever'), 3), (('classic', 'movies', 'synopsis'), 3), (('story', 'involves', 'arbuckle'), 3), (('beautiful', 'young', 'woman'), 2), (('fairy', 'godmother', 'appears'), 2), (('orders', 'bring', 'biggest'), 2)]"
World War II (1939-1945),2319,"[(('during', 'world', 'war'), 37), (('new', 'york', 'city'), 31), (('world', 'war', 'ii'), 27), (('world', 'war', 'i'), 14), (('holmes', 'movies', 'isbn'), 9), (('royal', 'air', 'force'), 9), (('van', 'der', 'lyn'), 9), (('east', 'side', 'kids'), 8), (('yap', 'yap', 'yap'), 8), (('david', 'holmes', 'movies'), 6)]"
