Movie release date,Number of movies,Ngrams and score
The 9/11 Attacks and the War on Terrorism (2001-present),9474,"[['film' 42.43338902873359]
 ['father' 35.15843061352882]
 ['life' 34.77280202805887]
 ['new' 34.43320214893507]
 ['family' 33.21804641934946]
 ['man' 31.487618515549094]
 ['mother' 30.59958354329819]
 ['tells' 30.44063669038882]
 ['house' 29.593073382480455]
 ['school' 29.49780528295851]
 ['home' 28.76949909858738]
 ['time' 28.57278611731872]
 ['finds' 27.164508337994327]
 ['friends' 25.07714956223881]
 ['day' 24.567903383323568]
 ['later' 24.441962761370636]
 ['group' 23.83236037685433]
 ['love' 23.703615612083972]
 ['story' 23.515915365865393]
 ['jack' 23.46047465006391]]"
The Belle Époque (1900-1914),485,"[['man' 0.9039050473303113]
 ['husband' 0.8419572041383537]
 ['film' 0.8398543224148467]
 ['jekyll' 0.8218978930043911]
 ['indians' 0.7528497064160873]
 ['girl' 0.6796371232183003]
 ['daughter' 0.655339124040611]
 ['woman' 0.5999764960781624]
 ['story' 0.5823429514109101]
 ['hyde' 0.5563765419134931]
 ['new' 0.5550965861092854]
 ['child' 0.5455766429888141]
 ['wife' 0.5316162013930485]
 ['returns' 0.5093103828420763]
 ['gets' 0.49855270112771566]
 ['cohen' 0.49624977308050516]
 ['house' 0.4855739459462804]
 ['father' 0.4654407628168841]
 ['love' 0.464579454088377]
 ['parker' 0.45890295173635487]]"
The Civil Rights and Social Equality Struggles (1950s-1970s),4294,"[['tom' 24.312356552086438]
 ['bugs' 20.664208806015747]
 ['jerry' 18.16140910374882]
 ['man' 17.87082420015657]
 ['new' 16.527233096300705]
 ['film' 15.978230015690812]
 ['town' 14.562699367557482]
 ['wife' 14.393387477420092]
 ['men' 13.91475609072647]
 ['father' 13.838461925606959]
 ['love' 13.541678850875002]
 ['sam' 13.03095525939758]
 ['home' 12.841668588517127]
 ['time' 12.690924847630406]
 ['police' 12.680209282633042]
 ['joe' 12.63083614379993]
 ['war' 12.235116074958157]
 ['young' 12.170720293665957]
 ['tells' 11.869910457460279]
 ['house' 11.840565656328247]]"
The Cold War and McCarthyism (1947-1991),3072,"[['film' 12.856544381618967]
 ['man' 12.678853584515778]
 ['new' 12.179412115882354]
 ['police' 10.062855776515063]
 ['father' 9.913740908776816]
 ['wife' 9.902406179311665]
 ['life' 9.842200948676942]
 ['home' 9.76282135785012]
 ['young' 9.56409312902794]
 ['family' 9.525265535880012]
 ['town' 9.448614961192536]
 ['woman' 9.18942083170223]
 ['house' 9.12101302669467]
 ['time' 9.088160658136644]
 ['tells' 8.725998502810532]
 ['finds' 8.631466173137243]
 ['car' 8.333390911725338]
 ['love' 8.209594793526506]
 ['men' 8.19942712128187]
 ['old' 8.143124516145262]]"
The Great Depression (1929-1939),2772,"[['betty' 11.828741797558095]
 ['man' 9.251809340742412]
 ['love' 9.084792410698503]
 ['new' 8.955985575002595]
 ['father' 8.604240008993699]
 ['tells' 7.237375830508709]
 ['film' 7.208543353760231]
 ['wife' 7.159974706631794]
 ['stan' 6.994276364331741]
 ['gang' 6.970530979484872]
 ['ollie' 6.943516938200244]
 ['money' 6.88600309433863]
 ['young' 6.754014223482295]
 ['mary' 6.68315526002771]
 ['finds' 6.678916067189256]
 ['home' 6.580074223345684]
 ['gets' 6.506927787504587]
 ['house' 6.433092837755307]
 ['goes' 6.3561754280854625]
 ['tries' 6.2727027721568325]]"
The Post-Cold War and the New World Order (1991-2001),4768,"[['film' 20.68631463936359]
 ['new' 20.032578428318853]
 ['father' 19.51510576191125]
 ['family' 19.16524508318313]
 ['life' 17.885078556020826]
 ['man' 17.7975258186296]
 ['mother' 16.561977452568026]
 ['time' 16.39837980357329]
 ['jack' 16.352389971078317]
 ['home' 16.305431277060993]
 ['tells' 15.559935876828979]
 ['house' 15.466560340959468]
 ['school' 14.673661813235766]
 ['wife' 14.352760228231594]
 ['police' 14.043376837604823]
 ['finds' 13.861258327365498]
 ['later' 13.766554407178006]
 ['john' 13.283859851338494]
 ['day' 13.17898711687841]
 ['help' 13.151894146652007]]"
The Reagan Years and the Rise of Neoliberalism (1980s),3107,"[['film' 14.783412872888468]
 ['new' 13.23826113615644]
 ['father' 12.306751994235]
 ['man' 11.460110670850987]
 ['family' 11.448823709212531]
 ['jack' 11.416646605209642]
 ['life' 11.101996485628307]
 ['house' 11.009004148125126]
 ['time' 10.943903697896431]
 ['school' 10.868690243707475]
 ['home' 10.816965495732214]
 ['police' 10.473458070203032]
 ['mother' 10.039465684691049]
 ['car' 9.590704197300507]
 ['young' 9.54476232749075]
 ['night' 9.392865677903517]
 ['tells' 9.116851031086684]
 ['group' 8.992493669061348]
 ['finds' 8.917037064617874]
 ['later' 8.751968585949356]]"
The Roaring Twenties (1920-1929),1454,"[['love' 4.198102369897002]
 ['girl' 3.7907176929269144]
 ['father' 3.70725407483987]
 ['man' 3.6181279513433546]
 ['film' 3.5902594609036775]
 ['gang' 3.52500178961212]
 ['wife' 3.0314453463016098]
 ['young' 3.026791020403277]
 ['stan' 3.006613005719337]
 ['woman' 2.8864333907388344]
 ['mary' 2.877316254757565]
 ['new' 2.7719135956156684]
 ['mother' 2.578677998380738]
 ['falls' 2.5589694384609043]
 ['finds' 2.528820177526238]
 ['house' 2.517855286246097]
 ['life' 2.4526802967409784]
 ['john' 2.4314949190158317]
 ['tells' 2.3633777361856505]
 ['husband' 2.3402600069086095]]"
World War I (1914-1918),1268,"[['charlie' 3.1122678865996662]
 ['man' 1.979728595010129]
 ['wife' 1.9329953749336253]
 ['woman' 1.9042680365782947]
 ['girl' 1.8389005766888715]
 ['love' 1.8104140052634927]
 ['film' 1.680609686998284]
 ['young' 1.6562103632952236]
 ['father' 1.606921889837287]
 ['daughter' 1.5382138784747197]
 ['chaplin' 1.5312275982784551]
 ['husband' 1.514014198214869]
 ['finds' 1.4945372995142971]
 ['new' 1.4165236055473838]
 ['mabel' 1.4035843241607997]
 ['mary' 1.3546316188866676]
 ['gets' 1.334817749107888]
 ['wealthy' 1.323549955341657]
 ['falls' 1.2818974711469142]
 ['home' 1.2565155852299226]]"
World War II (1939-1945),2319,"[['bugs' 8.163715196641272]
 ['man' 7.841307567824989]
 ['new' 7.790023544673589]
 ['tom' 7.5725142985132]
 ['father' 7.450171160799538]
 ['war' 7.355311590298014]
 ['film' 6.952163179162016]
 ['love' 6.787898812374227]
 ['jerry' 6.254501081514387]
 ['daffy' 6.141625677120237]
 ['home' 6.1401432796452955]
 ['gang' 5.964064222983584]
 ['tells' 5.807656485526703]
 ['life' 5.648587092796943]
 ['men' 5.642429692606857]
 ['wife' 5.583766347630813]
 ['dr' 5.582080011084583]
 ['finds' 5.487341050849733]
 ['stooges' 5.417907554252227]
 ['money' 5.281616457638155]]"
