Movie release date,Number of movies,Ngrams and score
1970,261,"[['life' 1.8212373773176822]
 ['film' 1.621588916778516]
 ['wife' 1.3883631442004902]
 ['new' 1.382510863466844]
 ['man' 1.3713160681455783]
 ['love' 1.336387715306584]
 ['father' 1.2944978441961343]
 ['young' 1.166603554020283]
 ['jack' 1.161472760888227]
 ['family' 1.137319246527977]]"
1971,267,"[['film' 1.7926058890137022]
 ['town' 1.6374095240108104]
 ['man' 1.383106737025897]
 ['old' 1.2842137675084546]
 ['john' 1.280572401659476]
 ['men' 1.2753907012320547]
 ['love' 1.2507335048301162]
 ['new' 1.2034147542207871]
 ['young' 1.1985132175825501]
 ['home' 1.1495332961391418]]"
1972,272,"[['life' 1.6701349942300114]
 ['film' 1.5538462114412783]
 ['father' 1.485157623990058]
 ['man' 1.339282272960278]
 ['wife' 1.3253014076071485]
 ['police' 1.272673158004887]
 ['woman' 1.2684648296927215]
 ['young' 1.1740035565602838]
 ['home' 1.1656251966783873]
 ['tells' 1.1136184492850678]]"
1973,241,"[['new' 1.6263217590973669]
 ['man' 1.5066468720579933]
 ['film' 1.4735715653869064]
 ['young' 1.4653987690993089]
 ['police' 1.333392377135466]
 ['woman' 1.2813469991419637]
 ['wife' 1.244758901239732]
 ['father' 1.237409815866512]
 ['family' 1.1514199872920514]
 ['life' 1.1480449067387046]]"
1974,266,"[['film' 1.8430631533717299]
 ['family' 1.6957297558421434]
 ['man' 1.5805787851680024]
 ['woman' 1.423948071212258]
 ['police' 1.4081565148346065]
 ['young' 1.3825308791390367]
 ['life' 1.360477371183842]
 ['school' 1.285120960387819]
 ['new' 1.1735568116113948]
 ['wife' 1.1318320356383071]]"
1975,247,"[['pink' 1.561743611587752]
 ['man' 1.4847533985946246]
 ['family' 1.3967231328756997]
 ['film' 1.3921568970920086]
 ['mother' 1.270842508121678]
 ['father' 1.136904223214719]
 ['police' 1.12403239138963]
 ['girl' 1.0806457421456246]
 ['men' 1.0667887233481568]
 ['new' 1.066112581668797]]"
1976,268,"[['family' 1.9344489225859538]
 ['film' 1.9273548736016353]
 ['man' 1.9163232652847286]
 ['son' 1.5397869755190756]
 ['panther' 1.49332412008616]
 ['father' 1.4895370634805998]
 ['old' 1.4794924015847295]
 ['woman' 1.4725776298535778]
 ['wife' 1.4383559208260142]
 ['mother' 1.3338518996109594]]"
1977,261,"[['film' 1.5383807939726104]
 ['life' 1.334026635725935]
 ['new' 1.3247062723100669]
 ['man' 1.322955718397207]
 ['family' 1.2663422009562306]
 ['time' 1.2004388122135956]
 ['wife' 1.1948672101617632]
 ['love' 1.1780006940734513]
 ['woman' 1.1697154493543256]
 ['home' 1.1477212826533252]]"
1978,272,"[['panther' 2.7108321056037137]
 ['father' 1.8659393352580111]
 ['film' 1.7552916326170456]
 ['man' 1.5965436386839496]
 ['pink' 1.5876476878224]
 ['love' 1.4754292779025624]
 ['life' 1.4730256812163773]
 ['pink panther' 1.4598258698478155]
 ['family' 1.4473432195396194]
 ['young' 1.3707394780885882]]"
1979,286,"[['film' 1.9991045073157363]
 ['man' 1.5228397732334322]
 ['new' 1.439659980124362]
 ['pink' 1.4145263035637927]
 ['san' 1.3858677041682035]
 ['finds' 1.3691573063662248]
 ['gang' 1.338263455431874]
 ['love' 1.3243480283763323]
 ['panther' 1.3217363478361255]
 ['life' 1.3109633063412405]]"
1980,297,"[['love' 2.0441835602732406]
 ['film' 1.925840389602952]
 ['mother' 1.9211341109879672]
 ['vijay' 1.7071529729589234]
 ['family' 1.6394249062116577]
 ['new' 1.5929793038202065]
 ['man' 1.547677519852382]
 ['father' 1.5090106833298802]
 ['young' 1.4733370535864208]
 ['police' 1.4479564727613063]]"
1981,292,"[['film' 2.1856838185544736]
 ['father' 1.695768299912724]
 ['son' 1.5766025377569086]
 ['life' 1.5764154413150329]
 ['new' 1.5684819845915432]
 ['love' 1.5645445203786077]
 ['young' 1.5395841244547315]
 ['home' 1.5165393332903647]
 ['man' 1.5124546489388044]
 ['story' 1.4733612139826031]]"
1982,278,"[['house' 1.9434564188985421]
 ['film' 1.8375264120420134]
 ['father' 1.754219216954427]
 ['man' 1.7015719980626627]
 ['home' 1.6302675467712486]
 ['new' 1.5524821746155046]
 ['young' 1.5224646278034115]
 ['family' 1.5161652223809672]
 ['life' 1.4619564193452328]
 ['love' 1.448074091533068]]"
1983,287,"[['film' 1.8774351810266707]
 ['father' 1.8013333291510398]
 ['family' 1.7868304834285063]
 ['love' 1.7575303358453966]
 ['life' 1.7178909621851424]
 ['mother' 1.670191062497741]
 ['home' 1.5462358481457092]
 ['death' 1.457979936099981]
 ['son' 1.4436444449083894]
 ['daughter' 1.3940154966887939]]"
1984,331,"[['film' 2.726173430793917]
 ['jake' 1.9619226325164507]
 ['family' 1.912987851651576]
 ['life' 1.8526304065169394]
 ['man' 1.8454876141357586]
 ['billy' 1.7686309607558384]
 ['named' 1.7660818512044767]
 ['new' 1.7592680326220955]
 ['father' 1.7462214277360046]
 ['home' 1.6903317143659307]]"
1985,356,"[['man' 2.3331263505512236]
 ['wife' 2.206434937399686]
 ['father' 2.087519363662174]
 ['film' 1.9882505378365902]
 ['jack' 1.9606437256177078]
 ['school' 1.8388827577068536]
 ['time' 1.8265877190885336]
 ['new' 1.7679556062342827]
 ['life' 1.767746143416125]
 ['love' 1.7372462624337512]]"
1986,372,"[['house' 2.5344512581078775]
 ['father' 2.423423130402222]
 ['police' 2.4048256520283786]
 ['film' 2.352188205701347]
 ['family' 2.232155432781811]
 ['son' 2.103352176403337]
 ['school' 2.075158670871061]
 ['life' 2.029103238657779]
 ['mother' 2.027465036758925]
 ['new' 2.026706866742044]]"
1987,372,"[['film' 2.9705883252919136]
 ['mother' 2.3012094413204864]
 ['new' 2.2831402481518377]
 ['father' 2.268575347294655]
 ['town' 2.1885814863223034]
 ['family' 2.149094043199148]
 ['man' 2.142747940358871]
 ['school' 2.0912783053512936]
 ['life' 2.0319226687012804]
 ['time' 1.9961142930838074]]"
1988,377,"[['new' 2.7787551732532974]
 ['father' 2.6746797466862295]
 ['film' 2.527491602923333]
 ['jack' 2.419206785153184]
 ['family' 2.3677406073702825]
 ['house' 2.321915975881239]
 ['mother' 2.296304742169072]
 ['life' 2.1705754053195583]
 ['man' 2.1231488570917683]
 ['police' 1.9612172012686486]]"
1989,349,"[['film' 2.614136964006822]
 ['father' 2.4549263248208577]
 ['family' 2.1705727502642334]
 ['new' 2.1648165785681037]
 ['police' 2.0941126401165424]
 ['man' 2.0641431880408447]
 ['wife' 2.0408425652033384]
 ['life' 2.020278488416332]
 ['ray' 1.951366401690646]
 ['school' 1.7348924184720813]]"
1990,388,"[['family' 2.5306175144567558]
 ['father' 2.517209575908624]
 ['film' 2.3904208605485104]
 ['new' 2.345809546860343]
 ['life' 2.3261663337052774]
 ['man' 2.259580877252615]
 ['police' 2.1996280387511593]
 ['son' 2.0978884307004186]
 ['love' 2.046136022996738]
 ['house' 1.9921513648130806]]"
1991,390,"[['father' 2.9853333318892585]
 ['film' 2.9427110580263602]
 ['family' 2.5871731267241853]
 ['life' 2.4062003287835805]
 ['wife' 2.3962505733482438]
 ['love' 2.394274725079448]
 ['new' 2.2850895296798055]
 ['man' 2.2047349874102964]
 ['time' 2.109724283711702]
 ['mother' 2.104912830753685]]"
1992,404,"[['family' 2.984085174129397]
 ['film' 2.878775216280047]
 ['new' 2.4405070005360443]
 ['father' 2.411775977616305]
 ['mother' 2.351945341759446]
 ['house' 2.1258011280200626]
 ['police' 2.112388527292778]
 ['man' 2.0987495104704905]
 ['brother' 2.0144629996809296]
 ['jack' 2.0113302166653395]]"
1993,454,"[['family' 3.22851342735897]
 ['life' 3.080237818360019]
 ['father' 2.9369746416726503]
 ['film' 2.849117483386781]
 ['home' 2.699396114335724]
 ['police' 2.6856022308460092]
 ['man' 2.595188501019615]
 ['new' 2.552785518002684]
 ['story' 2.410545692741197]
 ['time' 2.3845958930237474]]"
1994,473,"[['new' 3.3125460424390596]
 ['father' 3.146104874834567]
 ['life' 3.084355928962419]
 ['mother' 3.0309442820425287]
 ['police' 2.8612009319580887]
 ['family' 2.85987888591691]
 ['love' 2.852645857801494]
 ['film' 2.835173901487335]
 ['man' 2.736271110900723]
 ['woman' 2.5376650545622614]]"
1995,477,"[['father' 3.2232023444891773]
 ['family' 3.1427993532130625]
 ['mother' 2.9427774611063513]
 ['jack' 2.8190860153835278]
 ['police' 2.7289779951203923]
 ['life' 2.6688777236710473]
 ['film' 2.614778525429603]
 ['new' 2.4976356915986115]
 ['john' 2.4155209794790524]
 ['home' 2.292414626913019]]"
1996,520,"[['film' 3.8522228644123806]
 ['father' 3.5112474655917736]
 ['family' 3.3617857188432865]
 ['love' 3.16784979128536]
 ['life' 3.166487584500651]
 ['mother' 3.024433946178294]
 ['new' 2.8927287399912474]
 ['david' 2.7728209272942492]
 ['house' 2.7387848536855826]
 ['man' 2.7139017893722985]]"
1997,528,"[['father' 3.927955105145672]
 ['family' 3.62744629438677]
 ['film' 3.5672211350590852]
 ['love' 3.374824544766454]
 ['house' 3.170109024387914]
 ['life' 3.135763186982874]
 ['time' 3.0044716896273598]
 ['son' 2.967234722268732]
 ['home' 2.93624227797212]
 ['new' 2.855921239120575]]"
1998,619,"[['father' 4.163237667127674]
 ['love' 4.0754432252276]
 ['family' 4.061233111868902]
 ['film' 3.9861039678813683]
 ['new' 3.40538819510244]
 ['life' 3.34848386120078]
 ['man' 3.319468954058123]
 ['time' 3.2882074382614643]
 ['mother' 3.1249338604904735]
 ['home' 2.8620096089865736]]"
1999,634,"[['film' 4.423355705665264]
 ['father' 3.9230031650417003]
 ['love' 3.810829611039862]
 ['family' 3.48339224922536]
 ['life' 3.4372259140695274]
 ['new' 3.3750900419180607]
 ['mother' 3.174648707823672]
 ['wife' 3.1210105313748433]
 ['man' 3.1089999800584804]
 ['young' 3.0246285701288125]]"
2000,656,"[['film' 4.65646597866808]
 ['family' 4.473218291239739]
 ['life' 4.190376466319247]
 ['man' 3.8732743324846637]
 ['love' 3.8314710321591963]
 ['father' 3.6866096838680225]
 ['new' 3.5540529869680655]
 ['mother' 3.4770122635918335]
 ['tells' 3.406526961070816]
 ['time' 3.300985504743402]]"
2001,713,"[['father' 4.979987831666422]
 ['family' 4.39815104823163]
 ['love' 4.390267465993477]
 ['film' 4.149079347417144]
 ['man' 3.8430826746331297]
 ['life' 3.621418690564764]
 ['new' 3.4423329101298257]
 ['wife' 3.43501638784898]
 ['tells' 3.2259242651168885]
 ['school' 3.199305727531032]]"
2002,800,"[['film' 5.285019974420171]
 ['mother' 5.064302943692793]
 ['father' 4.985840531352347]
 ['love' 4.776416426097627]
 ['life' 4.678559383026423]
 ['family' 4.524772887791211]
 ['new' 4.480616220740662]
 ['man' 4.066237625782808]
 ['time' 3.979406514628617]
 ['son' 3.7100116141261115]]"
2003,893,"[['film' 5.838033237899007]
 ['father' 5.689733983091164]
 ['family' 5.633599870438396]
 ['love' 5.613590167735901]
 ['life' 5.084635122484756]
 ['mother' 4.971888697434626]
 ['house' 4.655726729616752]
 ['man' 4.507243428613888]
 ['new' 4.466808740292904]
 ['school' 4.413445361383121]]"
2004,1006,"[['film' 6.681644629806055]
 ['father' 6.40895965306374]
 ['love' 6.078562846937191]
 ['family' 5.458939211033737]
 ['life' 5.354064339966264]
 ['mother' 5.333436495279326]
 ['man' 5.326778313582343]
 ['new' 4.705263194201493]
 ['house' 4.623695694951582]
 ['time' 4.36684632544938]]"
2005,1134,"[['father' 7.795489461631741]
 ['film' 7.070713616482003]
 ['family' 6.431026616284176]
 ['mother' 6.349756363327097]
 ['life' 6.220278444404557]
 ['young' 6.0725622401886366]
 ['love' 5.749905035233532]
 ['time' 5.449835598494392]
 ['man' 5.384157839640922]
 ['new' 5.31593412219017]]"
2006,1355,"[['film' 8.477785279676073]
 ['father' 8.16396887824778]
 ['family' 7.436920203522541]
 ['life' 7.190321163061257]
 ['time' 6.675886820776252]
 ['man' 6.33634323527076]
 ['love' 6.27595237412869]
 ['house' 6.266738304263905]
 ['new' 6.199060730388863]
 ['young' 5.950027273145617]]"
2007,1367,"[['film' 8.901793345720357]
 ['life' 8.198199918901237]
 ['love' 8.176067495462071]
 ['father' 8.119679437708864]
 ['family' 7.900926060956394]
 ['young' 6.773694225097487]
 ['story' 6.716195309974234]
 ['mother' 6.697148799650295]
 ['man' 6.686916574442081]
 ['house' 6.050057512405376]]"
2008,1439,"[['film' 10.290699821884958]
 ['love' 9.31770917993479]
 ['father' 9.26546375542539]
 ['life' 8.779147982964194]
 ['man' 7.645672849619101]
 ['mother' 7.582988677886491]
 ['family' 7.299835992573318]
 ['story' 7.225816011442864]
 ['time' 6.834079092542493]
 ['new' 6.758471118189336]]"
2009,1355,"[['film' 9.497558793416973]
 ['life' 9.31105123951358]
 ['love' 8.331647308151815]
 ['father' 8.195346476327781]
 ['family' 8.00763299534388]
 ['man' 7.637198618594369]
 ['mother' 7.029501240405864]
 ['new' 6.947280361652901]
 ['time' 6.914205508602471]
 ['story' 6.6670950753854825]]"
2010,1350,"[['film' 10.03710236250839]
 ['life' 8.834062103323362]
 ['father' 8.809192345615115]
 ['love' 8.4085682648216]
 ['family' 7.696776278394723]
 ['man' 7.3663225248375985]
 ['tells' 6.5878642485051655]
 ['mother' 6.5716545243463695]
 ['new' 6.54013611913309]
 ['story' 6.53726401835122]]"
2011,1433,"[['film' 10.285999810142208]
 ['life' 9.105331400524229]
 ['father' 8.967060894404138]
 ['family' 8.137524074294639]
 ['love' 8.017545957831892]
 ['story' 6.591018147210792]
 ['new' 6.316427152820964]
 ['mother' 6.106382960536005]
 ['day' 5.881484238928955]
 ['time' 5.754606580101437]]"
2012,873,"[['film' 5.711391870110161]
 ['love' 5.325488163627553]
 ['story' 5.282318376291003]
 ['life' 5.175566234074774]
 ['man' 4.366993668004405]
 ['family' 4.257408094518671]
 ['father' 4.2076298307542155]
 ['cite' 3.8242398773474475]
 ['house' 3.816401942160936]
 ['young' 3.5920555613363443]]"
2013,86,"[['cite' 1.0042266579110615]
 ['film' 0.9007697603263367]
 ['cite web' 0.8094594489142771]
 ['web' 0.8094594489142771]
 ['world' 0.7008565694175265]
 ['battle' 0.6530370142134245]
 ['son' 0.6498087782326871]
 ['city' 0.6462152351524639]
 ['new' 0.6434395309450802]
 ['man' 0.5723877712722696]]"
2014,6,"[['noah' 0.35231696061093437]
 ['earth' 0.16005788491455647]
 ['angels' 0.11743898687031147]
 ['angels known' 0.11743898687031147]
 ['order' 0.11743898687031147]
 ['noah family' 0.11743898687031147]
 ['noah attempts' 0.11743898687031147]
 ['noah approaches' 0.11743898687031147]
 ['mistreatment earth' 0.11743898687031147]
 ['mistreatment' 0.11743898687031147]]"
2016,2,
