Movie release date,Number of movies,Ngrams and score
1913,213,"[['child' 0.6350565633513644]
 ['cohen' 0.5657892475573177]
 ['von' 0.5485283718982764]
 ['husband' 0.5261515734853304]
 ['hinemoa' 0.4791070339723053]
 ['film' 0.46267900479260066]
 ['demon' 0.4518835086447357]
 ['jekyll' 0.448222431179326]
 ['wife' 0.4372484354141269]
 ['ingeborg' 0.41243290170016]]"
1914,305,"[['charlie' 2.0335927959357116]
 ['mabel' 1.1540056870002648]
 ['woman' 1.062904294780167]
 ['wife' 1.052951034103458]
 ['chaplin' 1.0298624786792416]
 ['goes' 0.8322058364344675]
 ['race' 0.7552373757974375]
 ['gets' 0.7509834885512774]
 ['film' 0.7407948312678004]
 ['friend' 0.7007625917918691]]"
1915,349,"[['charlie' 1.032460779843197]
 ['love' 0.7051960467309457]
 ['poe' 0.6727490455315798]
 ['money' 0.5507937946343892]
 ['mignon' 0.5347269035798284]
 ['wife' 0.514573029686886]
 ['edna' 0.4799109384040309]
 ['takes' 0.4789299538575311]
 ['army' 0.4734355674236264]
 ['war' 0.47233823959543153]]"
1916,307,"[['man' 0.6125841687704927]
 ['girl' 0.5905574547533544]
 ['charlie' 0.5806943188881669]
 ['ann' 0.5778817087544655]
 ['house' 0.5547626092487562]
 ['daughter' 0.5337453023928154]
 ['father' 0.4951235121207559]
 ['family' 0.49055558143179834]
 ['peppina' 0.4848287337936313]
 ['finds' 0.4749535870142133]]"
1917,220,"[['father' 0.8206191252614481]
 ['love' 0.7437717227969379]
 ['woman' 0.6926928250474373]
 ['jimmie' 0.691097393296195]
 ['jim' 0.6762447708063756]
 ['falls' 0.6446837027341171]
 ['falls love' 0.6446837027341171]
 ['new' 0.6149192570083143]
 ['marry' 0.5800312587492662]
 ['daughter' 0.5505517380316399]]"
1918,193,"[['harry' 0.79557504755666]
 ['young' 0.6826013220446007]
 ['girl' 0.6473984375281652]
 ['boy' 0.6416773460285654]
 ['wealthy' 0.562783101462614]
 ['finds' 0.5622862437717832]
 ['german' 0.5309506378354493]
 ['mary' 0.5194377184440953]
 ['amarilly' 0.5042413182399753]
 ['liss' 0.49671947794909455]]"
1919,221,"[['körner' 0.6371188621448893]
 ['girl' 0.5729709933419974]
 ['film' 0.5653944975698812]
 ['peter' 0.5585404535319387]
 ['mavis' 0.5491771020677461]
 ['carmen' 0.5238719322150444]
 ['man' 0.5209535143874577]
 ['harry' 0.5036318863737786]
 ['hanford' 0.4956026131465047]
 ['jozef' 0.49305593620239474]]"
1920,204,"[['jim' 0.7468526225032259]
 ['film' 0.6836863921894749]
 ['söfren' 0.666898722868449]
 ['buster' 0.6318698316993655]
 ['keaton' 0.6172358181051038]
 ['girl' 0.5996042323828344]
 ['jekyll' 0.5925603722012178]
 ['rose' 0.5500695280524925]
 ['finds' 0.5427570733672931]
 ['jane' 0.5321358095044517]]"
1921,155,"[['buster' 1.0850233473366306]
 ['david' 1.0015206833801404]
 ['keaton' 0.8830751898917781]
 ['father' 0.7597981993406067]
 ['film' 0.6653116777550079]
 ['boy' 0.6585644615456556]
 ['sheik' 0.6106019893661924]
 ['marguerite' 0.6024784044653722]
 ['man' 0.5985389594050499]
 ['girl' 0.5385763715025879]]"
1922,154,"[['man' 0.6489358799592416]
 ['amos' 0.6373009845415035]
 ['oliver' 0.6255061404883355]
 ['house' 0.608346279091448]
 ['lorenz' 0.5932772909133098]
 ['film' 0.5873621111818219]
 ['girl' 0.5836074367083013]
 ['young' 0.5805575558203467]
 ['town' 0.5798470287876695]
 ['love' 0.5681081654106159]]"
