Movie release date,Number of movies,Ngrams and score
1900,10,"[['chimmie' 0.3364632924552266]
 ['race' 0.1682316462276133]
 ['shows' 0.1682316462276133]
 ['money' 0.11215443081840887]
 ['returns' 0.11215443081840887]
 ['horse' 0.11215443081840887]
 ['place' 0.11215443081840887]
 ['sketch' 0.11215443081840887]
 ['begins' 0.11215443081840887]
 ['racing' 0.11215443081840887]
 ['stage' 0.11215443081840887]
 ['man' 0.11215443081840887]
 ['returns collects chimmie' 0.056077215409204434]
 ['rises sadly begins' 0.056077215409204434]
 ['quickly turns despair' 0.056077215409204434]
 ['rises sadly' 0.056077215409204434]
 ['race begins' 0.056077215409204434]
 ['race begins chimmie' 0.056077215409204434]
 ['race second' 0.056077215409204434]
 ['race second man' 0.056077215409204434]]"
1901,11,"[['shot' 0.23448415270421968]
 ['teddy' 0.17586311452816478]
 ['agent' 0.17586311452816478]
 ['photographer' 0.17586311452816478]
 ['press' 0.17586311452816478]
 ['press agent' 0.17586311452816478]
 ['path' 0.11724207635210984]
 ['camera' 0.11724207635210984]
 ['tree' 0.11724207635210984]
 ['signs' 0.11724207635210984]
 ['rifle' 0.11724207635210984]
 ['wood' 0.11724207635210984]
 ['set' 0.05862103817605492]
 ['roosevelt' 0.05862103817605492]
 ['rifle men' 0.05862103817605492]
 ['sets camera' 0.05862103817605492]
 ['rifle men bearing' 0.05862103817605492]
 ['rifle upward' 0.05862103817605492]
 ['rifle upward tree' 0.05862103817605492]
 ['rights' 0.05862103817605492]]"
1902,2,
1903,3,"[['bandits' 0.4120816918460671]
 ['train' 0.27472112789737807]
 ['escape' 0.13736056394868904]
 ['telegraph' 0.09157370929912602]
 ['scene' 0.09157370929912602]
 ['film' 0.09157370929912602]
 ['tries' 0.09157370929912602]
 ['tries escape' 0.09157370929912602]
 ['played' 0.09157370929912602]
 ['office' 0.09157370929912602]
 ['locomotive' 0.09157370929912602]
 ['operator' 0.09157370929912602]
 ['water' 0.09157370929912602]
 ['force' 0.09157370929912602]
 ['telegraph office' 0.09157370929912602]
 ['operator wakes tries' 0.04578685464956301]
 ['operator wakes' 0.04578685464956301]
 ['passengers' 0.04578685464956301]
 ['operator gunpoint stop' 0.04578685464956301]
 ['operator gunpoint' 0.04578685464956301]]"
1905,2,"[['children' 0.2727272727272727]
 ['leaves' 0.18181818181818182]
 ['presents' 0.18181818181818182]
 ['bed' 0.09090909090909091]
 ['poem' 0.09090909090909091]
 ['santa claus' 0.09090909090909091]
 ['santa' 0.09090909090909091]
 ['reindeer enters children' 0.09090909090909091]
 ['reindeer enters' 0.09090909090909091]
 ['reindeer' 0.09090909090909091]
 ['presents children come' 0.09090909090909091]
 ['presents children' 0.09090909090909091]
 ['poem cite book' 0.09090909090909091]
 ['poem cite' 0.09090909090909091]
 ['pillow fight' 0.09090909090909091]
 ['pillow fight santa' 0.09090909090909091]
 ['scenes' 0.09090909090909091]
 ['pillow' 0.09090909090909091]
 ['lines poem cite' 0.09090909090909091]
 ['lines poem' 0.09090909090909091]]"
1906,2,
1907,2,
1908,22,"[['pedro' 0.4455213027525842]
 ['new' 0.2929115134744357]
 ['girl' 0.27767120045181787]
 ['mr hyde' 0.25285925937527814]
 ['mr' 0.25285925937527814]
 ['hyde' 0.25285925937527814]
 ['jekyll' 0.25285925937527814]
 ['mexican' 0.19093770117967898]
 ['border' 0.19093770117967898]
 ['town' 0.19093770117967898]
 ['man' 0.18844045542171836]
 ['cabin' 0.18511413363454524]
 ['rescuer' 0.18511413363454524]
 ['thug' 0.18511413363454524]
 ['help' 0.18511413363454524]
 ['man trouble' 0.14645575673721786]
 ['brings man trouble' 0.14645575673721786]
 ['brings man' 0.14645575673721786]
 ['brings' 0.14645575673721786]
 ['new limb strange' 0.14645575673721786]]"
1909,33,"[['girl' 0.2736825324450601]
 ['gets' 0.26481542835580213]
 ['king' 0.24482104878835467]
 ['gambler' 0.18245502163004004]
 ['streets' 0.18245502163004004]
 ['masons' 0.16321403252556976]
 ['use' 0.16321403252556976]
 ['bar' 0.13240771417790106]
 ['flirts' 0.13240771417790106]
 ['phone' 0.13240771417790106]
 ['face' 0.13240771417790106]
 ['building' 0.13240771417790106]
 ['sends' 0.13144511273093765]
 ['woman' 0.11973061315582793]
 ['film' 0.11241397907624585]
 ['drops golden louis' 0.09122751081502002]
 ['pass falls asleep' 0.09122751081502002]
 ['paris snowy evening' 0.09122751081502002]
 ['pass falls' 0.09122751081502002]
 ['pass' 0.09122751081502002]]"
1910,33,"[['frankenstein' 0.3730237174646572]
 ['monster' 0.3730237174646572]
 ['scrooge' 0.3404766376873002]
 ['gypsy' 0.33534538507261263]
 ['knife' 0.306134896660825]
 ['mary' 0.2560634425650559]
 ['sweetheart' 0.22783562520699047]
 ['returns' 0.22347585539330483]
 ['house' 0.21252105552188036]
 ['witch' 0.20753288950383494]
 ['dorothy' 0.20753288950383494]
 ['man' 0.20616652911702688]
 ['husband' 0.20408993110721668]
 ['finds' 0.1842790334573663]
 ['good' 0.18424084221205977]
 ['land' 0.17416081089367097]
 ['family' 0.17416081089367097]
 ['pickford' 0.17139835794612177]
 ['mary pickford' 0.17139835794612177]
 ['priscilla' 0.17139835794612177]]"
