Movie release date,Number of movies,Ngrams and score
1911,69,"[['woman' 0.26843435674701666]
 ['cowboy' 0.23408229439226105]
 ['jennie' 0.23408229439226105]
 ['children' 0.21580109540893255]
 ['young' 0.18637320903225063]
 ['17th' 0.13715782513133398]
 ['massachusetts classic' 0.13715782513133398]
 ['massachusetts' 0.13715782513133398]
 ['man husband away' 0.13715782513133398]
 ['man husband' 0.13715782513133398]
 ['man' 0.13715782513133398]
 ['17th century' 0.13715782513133398]
 ['husband away' 0.13715782513133398]
 ['husband' 0.13715782513133398]
 ['prynne' 0.13715782513133398]
 ['hester prynne forced' 0.13715782513133398]
 ['hester prynne' 0.13715782513133398]
 ['hester' 0.13715782513133398]
 ['forced puritan community' 0.13715782513133398]
 ['forced puritan' 0.13715782513133398]]"
1912,94,"[['parker' 0.4546393692973102]
 ['indians' 0.4481692038817808]
 ['man' 0.4267846274256425]
 ['mollie' 0.3782771477405973]
 ['minister' 0.3152309564504977]
 ['mosquito' 0.30470000596444424]
 ['old' 0.29150441473941635]
 ['grandson' 0.29150441473941635]
 ['jekyll' 0.2908792530554642]
 ['daughter' 0.2881590894731123]
 ['army' 0.2873299735411575]
 ['husband' 0.28539995835747567]
 ['gangster' 0.28539995835747567]
 ['story' 0.28280059782478884]
 ['settlers' 0.27748292264206287]
 ['money' 0.26471126862808947]
 ['father' 0.256117528853344]
 ['gray' 0.2525774273873945]
 ['geronimo' 0.2525774273873945]
 ['boy' 0.21862831105456226]]"
1913,202,"[['film' 0.5108829988432801]
 ['cohen' 0.4932109345481461]
 ['child' 0.4741055558458309]
 ['husband' 0.41419856196901883]
 ['hinemoa' 0.4017041665753669]
 ['jekyll' 0.38765735690643394]
 ['police' 0.36404518340364905]
 ['wife' 0.3393856284923274]
 ['susie' 0.3365167697229169]
 ['indians' 0.3305923573883083]
 ['baby' 0.32708221005487925]
 ['fatty' 0.32094167862782236]
 ['barn' 0.3060927256067042]
 ['hyde' 0.301511277593893]
 ['legend' 0.28575829364595073]
 ['goldberg' 0.28183481974179775]
 ['soldier' 0.2763800516441969]
 ['story' 0.27514495325009225]
 ['daughter' 0.26356965907821184]
 ['cabin' 0.2571273890797953]]"
1914,299,"[['charlie' 1.7069549297469442]
 ['mabel' 1.085852372057039]
 ['wife' 1.0452495401210218]
 ['woman' 0.9835621843974177]
 ['chaplin' 0.8651159494082024]
 ['film' 0.7719695783143559]
 ['man' 0.7049483607727245]
 ['gets' 0.6375671555153413]
 ['husband' 0.6360919212694016]
 ['race' 0.63470311503222]
 ['goes' 0.6013315955214998]
 ['friend' 0.5848689474016043]
 ['young' 0.5683703581899379]
 ['love' 0.5572560024419577]
 ['girl' 0.5496991267337108]
 ['fight' 0.5039698955753362]
 ['king' 0.48205125976700103]
 ['home' 0.4798373385814098]
 ['bar' 0.47809006286236755]
 ['tillie' 0.47736054434942066]]"
1915,334,"[['charlie' 0.8631625723362103]
 ['poe' 0.6241427908671686]
 ['man' 0.5801389547871317]
 ['beppo' 0.547439917639317]
 ['stanley' 0.5306309684343231]
 ['love' 0.5059428185811653]
 ['girl' 0.49121906140235705]
 ['mignon' 0.485108165242813]
 ['money' 0.48221559594025365]
 ['daughter' 0.43616504223736735]
 ['wife' 0.42674205549443456]
 ['father' 0.4167639768716852]
 ['woman' 0.4139026960772409]
 ['jane' 0.4072918420757165]
 ['edna' 0.4029301191036351]
 ['lothario' 0.39690668065321066]
 ['young' 0.3729056712666998]
 ['later' 0.37246517774203175]
 ['takes' 0.3665311838743335]
 ['film' 0.3611298296653833]]"
1916,274,"[['count' 0.5691966944786725]
 ['daughter' 0.5523540149903965]
 ['mary' 0.5091729877897073]
 ['ann' 0.508198797233511]
 ['man' 0.49104692599338523]
 ['girl' 0.47838224458241996]
 ['house' 0.47800311746458973]
 ['wife' 0.4551572533711629]
 ['allison' 0.43566469575156164]
 ['peppina' 0.4320895046995493]
 ['son' 0.42955736081318757]
 ['husband' 0.42062599452800226]
 ['life' 0.4176414299166479]
 ['new' 0.41723418115982325]
 ['father' 0.4044092556104767]
 ['family' 0.3989096219390225]
 ['finds' 0.3950650060120763]
 ['mark' 0.38975353705401083]
 ['film' 0.38002216982955894]
 ['faith' 0.37380469439202524]]"
1917,186,"[['love' 0.6346404450683598]
 ['jimmie' 0.6183291479202953]
 ['woman' 0.58530153544548]
 ['father' 0.5805938147872721]
 ['falls' 0.5342871112662537]
 ['falls love' 0.5342871112662537]
 ['jim' 0.5249399777429413]
 ['new' 0.5139444077863408]
 ['angela' 0.48908322324777276]
 ['daughter' 0.4732587374014043]
 ['sally' 0.4690049913345939]
 ['chaplin' 0.4670543952504054]
 ['tramp' 0.4476580761528059]
 ['wealthy' 0.441354520337502]
 ['new york' 0.4387208021056608]
 ['york' 0.4387208021056608]
 ['marry' 0.4346184231840088]
 ['finds' 0.4323294997972015]
 ['store' 0.42862429119999196]
 ['takes' 0.42178909335451614]]"
1918,175,"[['mary' 0.755707216805365]
 ['harry' 0.6647691324344249]
 ['boy' 0.5511698841581988]
 ['tarzan' 0.5192487712934699]
 ['girl' 0.5158297090140562]
 ['young' 0.5059707524218015]
 ['german' 0.5055375680981444]
 ['war' 0.50517220637875]
 ['man' 0.4899413051633298]
 ['film' 0.47877217492920626]
 ['finds' 0.4778750193930404]
 ['john' 0.46035200769028767]
 ['amarilly' 0.43740741457332916]
 ['liss' 0.4369369059729912]
 ['wealthy' 0.43578032186537835]
 ['charlie' 0.4109270558159826]
 ['stella' 0.40979688900073624]
 ['family' 0.40039258856541415]
 ['father' 0.39213563129756357]
 ['nora' 0.375018158036925]]"
1919,189,"[['girl' 0.4878824781030446]
 ['mavis' 0.48147221453789507]
 ['film' 0.4611720521368286]
 ['harry' 0.42744886478299327]
 ['hanford' 0.4201863958163206]
 ['mary' 0.4074057827752918]
 ['patriarch' 0.393569012047785]
 ['lucy' 0.3721482321678201]
 ['young' 0.36213168768588455]
 ['man' 0.3569542499038726]
 ['father' 0.3473058305889191]
 ['love' 0.3467663665988965]
 ['cheng' 0.33079842859361785]
 ['eat' 0.32106628939634346]
 ['town' 0.3191196373348847]
 ['son' 0.31685149970599674]
 ['tries' 0.31359317066184533]
 ['half' 0.3118698430502036]
 ['peter' 0.3099985859399532]
 ['olive' 0.3099985859399532]]"
1920,162,"[['jekyll' 0.7463724212223429]
 ['film' 0.6358934916271465]
 ['jim' 0.5790374526979493]
 ['pollyanna' 0.5625862418583917]
 ['dalmarez' 0.5325536564555623]
 ['buster' 0.5189083719098596]
 ['keaton' 0.5085781651365792]
 ['girl' 0.4935540149987597]
 ['tarzan' 0.4913166235152049]
 ['young' 0.48342495108478506]
 ['hyde' 0.4670817538168319]
 ['grace' 0.44804868744811366]
 ['mike' 0.4372385410188726]
 ['finds' 0.42722669930330565]
 ['house' 0.4201658216458209]
 ['home' 0.4190101420419279]
 ['jane' 0.4050758384974146]
 ['father' 0.4015579584434567]
 ['beth' 0.38951936195284736]
 ['molly' 0.3744114743606716]]"
1921,138,"[['buster' 0.9151958603433965]
 ['boy' 0.813951582464336]
 ['keaton' 0.7436442222314048]
 ['father' 0.7029616353925067]
 ['tramp' 0.6630740625862392]
 ['man' 0.6286846285458265]
 ['film' 0.6223289780770802]
 ['woman' 0.6161894180562617]
 ['sheik' 0.557281133148171]
 ['louise' 0.5545491880123764]
 ['stan' 0.5234133888315888]
 ['marguerite' 0.5222595952138384]
 ['girl' 0.5217666699358243]
 ['david' 0.5069252892216025]
 ['love' 0.4981633836833003]
 ['finds' 0.48425032323310924]
 ['julio' 0.4609234202256173]
 ['new' 0.44230027613794054]
 ['home' 0.4401309004947665]
 ['later' 0.4357219773745897]]"
1922,132,"[['amos' 0.5691308018435977]
 ['love' 0.5282458358638371]
 ['girl' 0.5233776732844779]
 ['film' 0.5135097197225548]
 ['house' 0.4965346437242057]
 ['wife' 0.49605009215865564]
 ['tess' 0.49344829277437363]
 ['man' 0.482573992115252]
 ['bracondale' 0.43737244779904155]
 ['father' 0.4334214966202029]
 ['tells' 0.4295069637548779]
 ['gang' 0.42664463332700153]
 ['alvarez' 0.42054912667109123]
 ['captain' 0.41823510973556954]
 ['mother' 0.41027363290538893]
 ['keaton' 0.3889615671396266]
 ['soon' 0.3872363264959682]
 ['son' 0.38333706357477837]
 ['doctor' 0.3810359363864424]
 ['money' 0.37960531802537]]"
1923,165,"[['gang' 1.2367903867138832]
 ['harold' 0.6523411412558682]
 ['marie' 0.5915950788922182]
 ['jean' 0.5456935341900299]
 ['young' 0.5336119157395726]
 ['school' 0.5096976229328853]
 ['love' 0.49769816094250974]
 ['mother' 0.4688148690616767]
 ['parents' 0.45302949238239754]
 ['angela' 0.44277804828297607]
 ['king' 0.42233179484168915]
 ['mckay' 0.4205412978670722]
 ['father' 0.3965091771080666]
 ['end' 0.3948817156241536]
 ['tries' 0.3944167690033078]
 ['new' 0.3904698123558794]
 ['hollywood' 0.38871977998913276]
 ['moran' 0.38452413057683843]
 ['finally' 0.3788897961722775]
 ['grandfather' 0.37661470154516574]]"
1924,161,"[['john' 1.3163142985557847]
 ['mary' 0.995609144067654]
 ['girl' 0.880082243678763]
 ['new' 0.8113512792204979]
 ['paul' 0.7979239874307842]
 ['dorothy' 0.7504378422381228]
 ['man' 0.7425189694949038]
 ['husband' 0.7246232346663147]
 ['brother' 0.711804320802417]
 ['love' 0.676075269869154]
 ['gang' 0.6723200094455369]
 ['york' 0.6174104790743606]
 ['new york' 0.6174104790743606]
 ['parents' 0.5932668161586532]
 ['woman' 0.5883327510059023]
 ['father' 0.5776291548770309]
 ['mickey' 0.5722961336656804]
 ['peter' 0.5560067919756335]
 ['mcteague' 0.5550370954819603]
 ['married' 0.5545879230141028]]"
1925,184,"[['love' 1.043213448325328]
 ['girl' 0.7902859681084441]
 ['christine' 0.6607918656631444]
 ['jim' 0.6604161882238886]
 ['mother' 0.63927775929912]
 ['man' 0.6377546067817402]
 ['young' 0.6368669560291657]
 ['husband' 0.6232357385316494]
 ['cesar' 0.6112279423674111]
 ['carver' 0.601671150971123]
 ['falls' 0.583579021559691]
 ['mary' 0.5639375526951058]
 ['new' 0.5532948045782955]
 ['boy' 0.5519518174778066]
 ['town' 0.5450962475866399]
 ['sally' 0.544694142274956]
 ['daughter' 0.5421305130576771]
 ['molly' 0.5189393602327204]
 ['wife' 0.5138065305647924]
 ['time' 0.5133907450231765]]"
1926,163,"[['tom' 0.6623740381380934]
 ['joe' 0.5875071897245838]
 ['love' 0.5425405606236767]
 ['father' 0.5327178530448845]
 ['bardelys' 0.516063008559807]
 ['pirate' 0.5053297559286557]
 ['johnnie' 0.49503604056691725]
 ['film' 0.49392249672311234]
 ['mary' 0.48537186973267366]
 ['julius' 0.48008741025568835]
 ['robledo' 0.45217729964861614]
 ['renal' 0.45042251893504626]
 ['ulysses' 0.42488205061389295]
 ['alverna' 0.4246900433872166]
 ['kiki' 0.42392707664474943]
 ['falls' 0.4236799825156483]
 ['rodolphe' 0.42179532633717626]
 ['don' 0.4008571336486836]
 ['felicitas' 0.39946574662207096]
 ['paul' 0.397488253997174]]"
1927,172,"[['stan' 1.0077726801000602]
 ['woman' 0.8156101417019753]
 ['harry' 0.8097659062282583]
 ['man' 0.8014148162248483]
 ['father' 0.7740415661557862]
 ['wife' 0.765134551946276]
 ['krazy' 0.7172969528721778]
 ['young' 0.7098077343202058]
 ['later' 0.6942414370098594]
 ['love' 0.6731453888884348]
 ['film' 0.6718678594700253]
 ['gang' 0.6662711216712456]
 ['bob' 0.6368903716855303]
 ['jesus' 0.6252281864214091]
 ['house' 0.5969804970303595]
 ['old' 0.5937629086123523]
 ['maggie' 0.591045091239806]
 ['captain' 0.5849317524052382]
 ['family' 0.5772837659615906]
 ['mary' 0.5653211519251323]]"
1928,177,"[['stan' 1.5517667069506782]
 ['mickey' 1.2233704773591887]
 ['ollie' 1.1607308750555956]
 ['love' 1.0409796871918677]
 ['girl' 0.8436147682295182]
 ['father' 0.8233874230473506]
 ['film' 0.7694577402855068]
 ['wife' 0.7648690536855292]
 ['kids' 0.748676722569313]
 ['diana' 0.7219825835965199]
 ['gang' 0.703877566076131]
 ['falls' 0.6833826255707643]
 ['buster' 0.6605938271811302]
 ['man' 0.6506162233667051]
 ['war' 0.6251883228640228]
 ['finds' 0.5865303020743211]
 ['tells' 0.5805254095349422]
 ['men' 0.5731995660573724]
 ['takes' 0.5600452764678607]
 ['boys' 0.5596795150232309]]"
1929,220,"[['mickey' 1.4670568134957953]
 ['love' 1.208594004424275]
 ['ollie' 1.0687541427542455]
 ['man' 1.0079532503074387]
 ['young' 0.9754030764194803]
 ['stan' 0.9152759222009945]
 ['father' 0.907985754641502]
 ['steve' 0.8862468658517836]
 ['son' 0.867463028571706]
 ['home' 0.8512145584752974]
 ['wheezer' 0.8183182716565615]
 ['new' 0.8141079041729158]
 ['film' 0.7324609568030601]
 ['billie' 0.7070147972668965]
 ['takes' 0.6966774740354635]
 ['mother' 0.6825427754179576]
 ['tries' 0.6729134579566444]
 ['prince' 0.6707939981190144]
 ['work' 0.6627314513633081]
 ['minnie' 0.6452715154980759]]"
1930,220,"[['stan' 1.423475570843688]
 ['love' 1.3712952305931698]
 ['gang' 1.2956499571938025]
 ['new' 1.0944090686193895]
 ['wife' 1.0427693419973498]
 ['man' 1.0069191082657505]
 ['falls' 1.0062895580450193]
 ['film' 1.0025602107850755]
 ['mary' 0.9725813778780155]
 ['jackie' 0.9320015788669326]
 ['tom' 0.9147881484522536]
 ['girl' 0.9014653076333052]
 ['mickey' 0.8742712093194807]
 ['ollie' 0.8087460551662311]
 ['goes' 0.7990910888816644]
 ['falls love' 0.7752151583475457]
 ['young' 0.7728137331546295]
 ['jerry' 0.7688877319743388]
 ['city' 0.7673336177043222]
 ['takes' 0.757175832484263]]"
1931,263,"[['bimbo' 2.1530562498311774]
 ['betty' 1.9232730729852454]
 ['father' 1.6624848243852732]
 ['man' 1.269608415005419]
 ['love' 1.261398872059274]
 ['ollie' 1.222478068106708]
 ['wife' 1.1844458951056667]
 ['woman' 1.1814082086423285]
 ['new' 1.1752067474845285]
 ['tells' 1.1565262681219584]
 ['husband' 1.08918922265568]
 ['wheezer' 1.0251015800962804]
 ['money' 1.0225592016863088]
 ['jack' 0.9851964530808364]
 ['tries' 0.9711950981755108]
 ['finds' 0.9560958931699335]
 ['gang' 0.9468901234625172]
 ['tom' 0.9346019349818431]
 ['mother' 0.90098470526431]
 ['young' 0.875196520307313]]"
1932,282,"[['betty' 2.2836362160391297]
 ['tony' 1.6081810444720641]
 ['stan' 1.5524919259609031]
 ['money' 1.54129600638244]
 ['man' 1.524712680232752]
 ['ollie' 1.3459821978245492]
 ['tells' 1.31823326019754]
 ['wife' 1.2780464519947263]
 ['film' 1.211599728575923]
 ['joan' 1.1834664078461854]
 ['father' 1.1442076964487853]
 ['son' 1.1109205412255632]
 ['helen' 1.0898442239428332]
 ['goes' 1.083849802831066]
 ['eddie' 1.0801662003583725]
 ['love' 1.073711200523908]
 ['bimbo' 1.044391474789982]
 ['house' 1.0277270108589827]
 ['friend' 0.9905221966840319]
 ['new' 0.9881125771739062]]"
1933,285,"[['betty' 2.984383278423123]
 ['man' 1.6519953390804707]
 ['new' 1.375635012092114]
 ['wife' 1.199260463116452]
 ['mickey' 1.1423084996060053]
 ['film' 1.140976770746158]
 ['love' 1.133059384197291]
 ['old' 1.1247169054896586]
 ['gets' 1.1179446403566369]
 ['gang' 1.1150710094911114]
 ['stan' 1.098352421685727]
 ['money' 1.0480216987957014]
 ['spanky' 1.0274895955775247]
 ['bimbo' 1.0131752192640349]
 ['oliver' 1.0065286476692203]
 ['father' 1.0012391583039295]
 ['john' 0.9999012597586582]
 ['life' 0.9560501820533911]
 ['eddie' 0.9509035834371249]
 ['home' 0.9476606678432887]]"
1934,300,"[['betty' 1.6905275455418993]
 ['father' 1.4098245089217314]
 ['jim' 1.3207500791170912]
 ['love' 1.1925006346917078]
 ['man' 1.1904716574280694]
 ['tells' 1.0916267375111754]
 ['ollie' 1.0693134729412253]
 ['dick' 1.042109062617109]
 ['mary' 1.0299705554866747]
 ['tom' 1.0183630082699437]
 ['help' 1.0179793550194614]
 ['film' 1.014244208897303]
 ['new' 1.009870672485926]
 ['john' 1.0087887917477754]
 ['goes' 1.003259030310173]
 ['story' 0.9878055083663958]
 ['finds' 0.9658957975921487]
 ['young' 0.9591535725908417]
 ['mickey' 0.9496180981357565]
 ['day' 0.9483984827841435]]"
1935,299,"[['spanky' 1.6065694028957922]
 ['betty' 1.5272481462009089]
 ['new' 1.301012384569708]
 ['man' 1.3006103314719155]
 ['mary' 1.2222406199222744]
 ['love' 1.1141382691540398]
 ['charlie' 1.0682323279184223]
 ['gang' 1.0600578324491567]
 ['money' 1.022166315493811]
 ['henry' 1.0216144616367848]
 ['time' 1.0214211589991709]
 ['police' 0.9999275975732129]
 ['stooges' 0.98877578480755]
 ['tells' 0.9634317279376085]
 ['friend' 0.9614366641730177]
 ['stephen' 0.9602503887166959]
 ['young' 0.9486428613118753]
 ['ollie' 0.9359158911060972]
 ['film' 0.9342262308856235]
 ['finds' 0.9145088650468224]]"
1936,311,"[['betty' 1.9399042921584448]
 ['porky' 1.8053815179838648]
 ['pudgy' 1.5164611575769376]
 ['alfalfa' 1.4327388872861266]
 ['new' 1.3684125374305263]
 ['gene' 1.3618488116529535]
 ['love' 1.135803254121728]
 ['town' 1.1314430305293182]
 ['stooges' 1.0691335024337718]
 ['school' 1.0505904161357942]
 ['man' 1.0362889183497364]
 ['daughter' 0.9975324183272078]
 ['life' 0.9878830087076329]
 ['father' 0.9809891096341015]
 ['gets' 0.9668305928971376]
 ['finds' 0.9584941390403149]
 ['spanky' 0.9339059539966199]
 ['joe' 0.919599880270804]
 ['dr' 0.912678894007895]
 ['away' 0.8947376073418942]]"
1937,313,"[['gene' 1.416475486210163]
 ['porky' 1.3964257281563008]
 ['new' 1.3368984937238402]
 ['man' 1.298361368344918]
 ['father' 1.287418502743301]
 ['love' 1.243478529819382]
 ['film' 1.20508342223689]
 ['betty' 1.197595671947825]
 ['stooges' 1.195750583462668]
 ['tries' 1.1345711780471175]
 ['irene' 1.1256874766075542]
 ['mary' 1.1086915532989674]
 ['home' 1.1004448035352818]
 ['young' 1.0459418618860539]
 ['tells' 1.0449650975760008]
 ['gets' 1.0416870706138193]
 ['house' 1.0266117770878944]
 ['goes' 1.0196105040201666]
 ['alfalfa' 1.0093705475548689]
 ['henry' 1.0038642253581849]]"
1938,279,"[['porky' 1.8075105094871644]
 ['boys' 1.7938919238721764]
 ['donald' 1.4610502968036652]
 ['alfalfa' 1.4278837022852562]
 ['new' 1.4159605725264763]
 ['father' 1.4122461337351484]
 ['love' 1.2733929245918265]
 ['kay' 1.1905479734061228]
 ['home' 1.1637392520789767]
 ['school' 1.15767090982453]
 ['mother' 1.1404222175093526]
 ['house' 1.1353039519046804]
 ['mr' 1.0594566179506482]
 ['tells' 1.0131016538158093]
 ['mrs' 1.0087398307768178]
 ['darla' 0.989193045228177]
 ['finds' 0.9876591670024796]
 ['louise' 0.9758260599345554]
 ['family' 0.971412439588792]
 ['tommy' 0.9700942403278352]]"
1939,301,"[['father' 1.5180569793495908]
 ['john' 1.3878988295601387]
 ['new' 1.3857061040796788]
 ['love' 1.3557939915498989]
 ['gang' 1.3040314448849097]
 ['man' 1.2744813565392046]
 ['life' 1.15685032938165]
 ['home' 1.0939383047184268]
 ['mary' 1.089804433506609]
 ['alfalfa' 1.0246553568305947]
 ['men' 1.0163520879672292]
 ['wife' 1.003567199653298]
 ['money' 1.0027038330072429]
 ['war' 0.9328753149720452]
 ['gets' 0.928483439163903]
 ['stooges' 0.9188913496409932]
 ['tries' 0.9170454110611284]
 ['school' 0.9065105281279447]
 ['finds' 0.9048330604798893]
 ['husband' 0.8946266716559991]]"
1940,291,"[['father' 1.4032862280429634]
 ['new' 1.3870051904560032]
 ['work' 1.3169835058561956]
 ['gang' 1.3052644243360843]
 ['dr' 1.2757049519416255]
 ['man' 1.2198418316832453]
 ['life' 1.087125308124664]
 ['stooges' 1.0822143877128587]
 ['love' 1.0745913952465858]
 ['men' 1.0333270106403558]
 ['town' 0.9899647868370169]
 ['johnny' 0.9765231805208492]
 ['mr' 0.9729733872280658]
 ['film' 0.9515817441375588]
 ['bob' 0.9322324271206278]
 ['john' 0.9303156823453639]
 ['family' 0.92536599036926]
 ['mary' 0.9092583845466251]
 ['money' 0.8999349257159636]
 ['lee' 0.8992764280081254]]"
1941,313,"[['new' 1.55349523585534]
 ['father' 1.490035731541573]
 ['bugs' 1.4885775160984538]
 ['love' 1.3933248529722673]
 ['gang' 1.3797576303196255]
 ['man' 1.3712188694946768]
 ['tom' 1.3298374671299558]
 ['mickey' 1.1639208833223567]
 ['jerry' 1.14506372629737]
 ['film' 1.1210972711396767]
 ['life' 1.1192027807555784]
 ['york' 1.114172106923731]
 ['elmer' 1.1001917196179605]
 ['work' 1.0140520894512894]
 ['mr' 1.0080760013180192]
 ['tells' 0.9891255691343562]
 ['wife' 0.9865199470617547]
 ['help' 0.9648908341123565]
 ['way' 0.9622154927065009]
 ['war' 0.9612009773105853]]"
1942,336,"[['tom' 1.657068330915243]
 ['father' 1.5589163342193535]
 ['bugs' 1.5217647814126294]
 ['jerry' 1.4809219830324922]
 ['war' 1.459416462034038]
 ['donald' 1.4268921234757888]
 ['police' 1.3351940778702995]
 ['gang' 1.3335340818562589]
 ['japanese' 1.3025428322316985]
 ['new' 1.2868106476769512]
 ['jeff' 1.2590542848368194]
 ['film' 1.2346657938413281]
 ['love' 1.1396872422954318]
 ['man' 1.121315925707437]
 ['home' 1.1179160809292137]
 ['world' 1.0284502042214492]
 ['american' 1.0271552271032545]
 ['old' 1.0270564021961963]
 ['tells' 1.0209629327357816]
 ['house' 1.0084925327848835]]"
1943,301,"[['war' 1.8796340201334472]
 ['japanese' 1.805146646011339]
 ['film' 1.6183891359504634]
 ['german' 1.468887029556572]
 ['tom' 1.4005632336131564]
 ['daffy' 1.2153629222329985]
 ['men' 1.205008873432061]
 ['man' 1.2007383562533611]
 ['ship' 1.171290988241043]
 ['dr' 1.1275644545832015]
 ['world' 1.1261890246098003]
 ['story' 1.1113876110651644]
 ['joe' 1.0845927121447354]
 ['hitler' 1.0815093197928154]
 ['tries' 1.0644225769890687]
 ['wolf' 1.0622352254101963]
 ['new' 1.0556817365363755]
 ['help' 1.006545224335688]
 ['donald' 1.0031936764654574]
 ['stooges' 1.0004856403737012]]"
