Movie release date,Number of movies,Ngrams and score
1900,87,"[['girl' 0.47874567713058336]
 ['pedro' 0.4498125594377943]
 ['bandits' 0.41634022229158635]
 ['chimmie' 0.34095737793771314]
 ['new' 0.3242457532708024]
 ['gets' 0.31095121826689504]
 ['train' 0.2775601481943909]
 ['mr' 0.27700656727486134]
 ['children' 0.2757053655477661]
 ['man' 0.26776696357771745]
 ['shot' 0.26265380096011826]
 ['film' 0.2591291652041373]
 ['jekyll' 0.2565882616587383]
 ['mr hyde' 0.2565882616587383]
 ['hyde' 0.2565882616587383]
 ['king' 0.24575232263953994]
 ['leaves' 0.23732277568452498]
 ['gambler' 0.20730843841693528]
 ['mexican' 0.19277681118762613]
 ['town' 0.19277681118762613]]"
1910,1855,"[['charlie' 3.2688597230928282]
 ['man' 2.697268009477297]
 ['film' 2.4330742393630405]
 ['wife' 2.364134448873976]
 ['woman' 2.36359913637942]
 ['girl' 2.352571874191099]
 ['love' 2.264687696787668]
 ['husband' 2.1701778041047155]
 ['daughter' 2.08111109122462]
 ['father' 2.0777307532423355]
 ['young' 2.075356162889107]
 ['finds' 1.864382556121803]
 ['mary' 1.8178098875380022]
 ['new' 1.7619756348211404]
 ['chaplin' 1.741778698590248]
 ['gets' 1.5669824751889638]
 ['tries' 1.5342699129537738]
 ['mabel' 1.5023473948225077]
 ['home' 1.5011591044385264]
 ['wealthy' 1.4691989030739638]]"
1920,1674,"[['love' 5.035933729572022]
 ['father' 4.329635651836716]
 ['man' 4.317400860459076]
 ['girl' 4.216705056422215]
 ['film' 4.0897385613411705]
 ['gang' 3.790390727825664]
 ['young' 3.727689875472726]
 ['stan' 3.6536865624362203]
 ['wife' 3.456703428507278]
 ['mickey' 3.3547906382537187]
 ['new' 3.3452505954410157]
 ['woman' 3.3220918269705093]
 ['mary' 3.179764715835626]
 ['mother' 3.054462762446911]
 ['home' 2.956673410730322]
 ['finds' 2.949121557470056]
 ['falls' 2.942441516850957]
 ['house' 2.9365642686247675]
 ['tells' 2.7658400388800986]
 ['husband' 2.76259485180859]]"
1930,2853,"[['betty' 12.132235137838624]
 ['man' 9.475109113457611]
 ['new' 9.402717977223926]
 ['love' 9.17962955452717]
 ['father' 9.09342890357726]
 ['gang' 7.645736714348658]
 ['tells' 7.459759031090742]
 ['wife' 7.44580028407303]
 ['money' 7.219892321716642]
 ['mary' 7.214077425799305]
 ['film' 7.1656317980346875]
 ['finds' 6.918095864677953]
 ['gets' 6.816878732207688]
 ['home' 6.785951900313793]
 ['life' 6.642950928477976]
 ['young' 6.619882968502063]
 ['goes' 6.614553460347996]
 ['house' 6.565287678708113]
 ['tries' 6.4818502346203815]
 ['stan' 6.46152036028117]]"
1940,2750,"[['bugs' 12.801631798591611]
 ['tom' 12.028009971408363]
 ['man' 9.920208996726224]
 ['jerry' 9.684939657558493]
 ['new' 9.449795526493995]
 ['war' 8.7805369096174]
 ['film' 8.583517708306369]
 ['father' 8.324609809983865]
 ['daffy' 8.057118363569902]
 ['love' 8.045840865968733]
 ['home' 7.611266126925559]
 ['tells' 7.60486614805176]
 ['wife' 7.363329776742522]
 ['police' 7.322394722927493]
 ['house' 6.943623176189996]
 ['finds' 6.938921383633848]
 ['joe' 6.933475631044892]
 ['stooges' 6.783402745029235]
 ['takes' 6.686360800477874]
 ['woman' 6.679795087504353]]"
1950,2382,"[['tom' 18.7088504805002]
 ['bugs' 16.57152737187528]
 ['jerry' 13.67266311093047]
 ['man' 10.095568619762663]
 ['new' 9.920970583100706]
 ['men' 8.944046827940564]
 ['town' 8.890919135257288]
 ['joe' 8.597918306985383]
 ['love' 8.396861516929661]
 ['father' 8.379143255971062]
 ['police' 8.331546658552611]
 ['sam' 8.209590247745535]
 ['film' 8.101986278243984]
 ['wife' 7.805186014970193]
 ['war' 7.651085354418994]
 ['time' 7.5815167159702375]
 ['tries' 7.490420259709023]
 ['tells' 7.2662510247246965]
 ['home' 7.184967441935598]
 ['away' 6.887569646178627]]"
1960,1709,"[['man' 8.318356189989844]
 ['film' 7.965474156644747]
 ['wife' 7.026271050156554]
 ['new' 6.9319684210013515]
 ['tom' 6.3732486639950405]
 ['town' 5.955489251933319]
 ['home' 5.867814088622003]
 ['young' 5.67097413214987]
 ['house' 5.603416553362919]
 ['love' 5.591921638726943]
 ['father' 5.542998383462202]
 ['time' 5.469026136117105]
 ['sam' 5.443392153559512]
 ['men' 5.315488589350642]
 ['woman' 5.216989946172568]
 ['life' 5.178958705556406]
 ['dr' 5.174904058454517]
 ['family' 5.147706096987714]
 ['jerry' 5.086681647430055]
 ['mother' 4.978634848861353]]"
1970,2160,"[['film' 10.291960504051094]
 ['man' 9.021736943193014]
 ['new' 8.716082515029308]
 ['father' 7.300366249824711]
 ['life' 7.2555102070003015]
 ['home' 7.093090588116397]
 ['young' 7.078340312367228]
 ['family' 6.865123590580749]
 ['wife' 6.801674246224883]
 ['town' 6.744289831963637]
 ['woman' 6.727375548963251]
 ['police' 6.650132572837933]
 ['time' 6.42836224209246]
 ['men' 6.273745860750789]
 ['old' 6.256290636569529]
 ['finds' 6.11664470592024]
 ['car' 6.103505663053741]
 ['tells' 5.78384208722793]
 ['house' 5.774339418210205]
 ['mother' 5.732201571779897]]"
1980,3107,"[['film' 14.783412872888468]
 ['new' 13.23826113615644]
 ['father' 12.306751994235]
 ['man' 11.460110670850987]
 ['family' 11.448823709212531]
 ['jack' 11.416646605209642]
 ['life' 11.101996485628307]
 ['house' 11.009004148125126]
 ['time' 10.943903697896431]
 ['school' 10.868690243707475]
 ['home' 10.816965495732214]
 ['police' 10.473458070203032]
 ['mother' 10.039465684691049]
 ['car' 9.590704197300507]
 ['young' 9.54476232749075]
 ['night' 9.392865677903517]
 ['tells' 9.116851031086684]
 ['group' 8.992493669061348]
 ['finds' 8.917037064617874]
 ['later' 8.751968585949356]]"
1990,4568,"[['film' 19.816566023859295]
 ['new' 19.36276115388473]
 ['family' 19.044378640577538]
 ['father' 19.036471203695722]
 ['man' 17.28531875157507]
 ['life' 17.269850746077534]
 ['mother' 16.166956296177887]
 ['time' 16.00724004408215]
 ['home' 16.001420209744765]
 ['jack' 15.770588043740764]
 ['house' 15.649470762797888]
 ['tells' 14.941046149195385]
 ['wife' 14.440966690501678]
 ['police' 13.972365813775168]
 ['school' 13.887678699808891]
 ['finds' 13.338288616867814]
 ['later' 13.297105546009877]
 ['young' 13.01869432812269]
 ['help' 12.820843351642642]
 ['john' 12.786833889680542]]"
