Movie release date,Number of movies,top 20 2grams
1914,299,"[(('fairy', 'godmother'), 8), (('prince', 'charming'), 4), (('godmother', 'changes'), 3), (('royal', 'heralds'), 3), (('falls', 'love'), 3), (('tin', 'woodman'), 3), (('new', 'york'), 3), (('fall', 'love'), 2), (('wants', 'go'), 2), (('sisters', 'go'), 2), (('godmother', 'appears'), 2), (('orders', 'bring'), 2), (('bring', 'biggest'), 2), (('changes', 'them'), 2), (('them', 'into'), 2), (('charming', 'immediately'), 2), (('turns', 'into'), 2), (('charlie', 'over'), 2), (('over', 'head'), 2), (('forced', 'work'), 2)]"
1915,334,"[(('molly', 'o'), 4), (('missing', 'link'), 4), (('austin', 'stoneman'), 3), (('falls', 'love'), 3), (('ben', 'cameron'), 3), (('wants', 'marry'), 3), (('new', 'york'), 3), (('colonel', 'arthur'), 3), (('stoneman', 'two'), 2), (('south', 'carolina'), 2), (('civil', 'war'), 2), (('falls', 'unconscious'), 2), (('same', 'old'), 2), (('mary', 'pickford'), 2), (('upon', 'seeing'), 2), (('makes', 'its'), 2), (('its', 'way'), 2), (('left', 'behind'), 2), (('link', 'goes'), 2), (('runs', 'away'), 2)]"
1916,274,"[(('new', 'york'), 6), (('falls', 'love'), 4), (('molly', 'o'), 4), (('york', 'times'), 3), (('falsely', 'accused'), 2), (('found', 'guilty'), 2), (('set', 'free'), 2), (('times', 'review'), 2), (('plump', 'runt'), 2), (('thy', 'thy'), 2), (('put', 'trial'), 2), (('south', 'african'), 2), (('battle', 'blood'), 2), (('crimson', 'stain'), 2), (('young', 'man'), 2), (('should', 'bring'), 2), (('curse', 'still'), 2), (('still', 'upon'), 2), (('no', 'idea'), 2), (('torrens', 'family'), 2)]"
1917,186,"[(('falls', 'love'), 10), (('new', 'york'), 8), (('york', 'times'), 7), (('times', 'review'), 6), (('review', 'summary'), 5), (('gang', 'thieves'), 2), (('escapes', 'jail'), 2), (('chaplin', 'plays'), 2), (('into', 'health'), 2), (('beautiful', 'young'), 2), (('young', 'woman'), 2), (('getting', 'drunk'), 2), (('gets', 'drunk'), 2), (('count', 'jules'), 2), (('back', 'angela'), 2), (('french', 'soldier'), 2), (('tries', 'help'), 2), (('angela', 'karl'), 2), (('love', 'son'), 2), (('polly', 'biggs'), 2)]"
1918,175,"[(('sir', 'kenneth'), 4), (('cheyenne', 'harry'), 3), (('three', 'years'), 3), (('falls', 'love'), 3), (('after', 'father'), 3), (('richard', 'beth'), 3), (('pretty', 'young'), 3), (('thrown', 'off'), 2), (('film', 'takes'), 2), (('only', 'one'), 2), (('new', 'york'), 2), (('york', 'times'), 2), (('identical', 'plot'), 2), (('french', 'village'), 2), (('world', 'war'), 2), (('two', 'them'), 2), (('search', 'bluebird'), 2), (('off', 'land'), 2), (('been', 'released'), 2), (('maude', 'harcourt'), 2)]"
1919,189,"[(('peach', 'tree'), 7), (('new', 'york'), 6), (('gloria', 'du'), 6), (('tries', 'get'), 3), (('falls', 'love'), 2), (('after', 'being'), 2), (('harry', 'realizes'), 2), (('two', 'men'), 2), (('new', 'england'), 2), (('film', 'story'), 2), (('young', 'man'), 2), (('du', 'moine'), 2), (('duke', 'de'), 2), (('tree', 'inn'), 2), (('michael', 'calhoun'), 2), (('dinner', 'party'), 2), (('follows', 'jimmy'), 2), (('gets', 'into'), 2), (('one', 'day'), 2), (('john', 'burnham'), 2)]"
1920,162,"[(('aunt', 'polly'), 11), (('sir', 'george'), 6), (('van', 'alstyne'), 5), (('one', 'day'), 4), (('new', 'york'), 3), (('film', 'opens'), 3), (('gets', 'trouble'), 3), (('young', 'man'), 3), (('don', 'diego'), 3), (('black', 'mike'), 2), (('kills', 'man'), 2), (('buster', 'keaton'), 2), (('tarzan', 'jane'), 2), (('dalmarez', 'returns'), 2), (('i', 'i'), 2), (('returns', 'home'), 2), (('squire', 'bartlett'), 2), (('all', 'night'), 2), (('young', 'jim'), 2), (('jim', 'hawkins'), 2)]"
1921,138,"[(('new', 'york'), 5), (('falls', 'love'), 3), (('decides', 'take'), 3), (('buster', 'keaton'), 3), (('girls', 'leave'), 3), (('sheik', 'men'), 3), (('de', 'vaudrey'), 3), (('monsieur', 'grandet'), 3), (('through', 'series'), 2), (('secret', 'agent'), 2), (('two', 'orphan'), 2), (('becomes', 'doctor'), 2), (('leave', 'home'), 2), (('comes', 'see'), 2), (('world', 'war'), 2), (('into', 'some'), 2), (('both', 'end'), 2), (('see', 'boy'), 2), (('boy', 'rushes'), 2), (('wallingford', 'daw'), 2)]"
1922,132,"[(('yen', 'sin'), 4), (('von', 'tarlenheim'), 4), (('lotus', 'flower'), 4), (('five', 'boys'), 3), (('get', 'back'), 3), (('elias', 'fred'), 3), (('sir', 'guy'), 3), (('king', 'richard'), 3), (('von', 'saulsbourg'), 3), (('captain', 'morgan'), 3), (('monkey', 'gets'), 2), (('boys', 'get'), 2), (('get', 'into'), 2), (('after', 'get'), 2), (('van', 'renssalaer'), 2), (('all', 'children'), 2), (('chauffer', 'gets'), 2), (('gets', 'tire'), 2), (('children', 'get'), 2), (('back', 'into'), 2)]"
1923,165,"[(('fall', 'love'), 3), (('young', 'man'), 3), (('small', 'town'), 3), (('marie', 'pierre'), 3), (('school', 'teacher'), 3), (('john', 'browning'), 3), (('dom', 'claude'), 3), (('canfield', 'men'), 3), (('film', 'takes'), 2), (('takes', 'place'), 2), (('de', 'roulade'), 2), (('one', 'evening'), 2), (('gets', 'into'), 2), (('de', 'marny'), 2), (('love', 'get'), 2), (('not', 'knowing'), 2), (('being', 'shot'), 2), (('realizes', 'not'), 2), (('sets', 'off'), 2), (('gets', 'job'), 2)]"
