Movie release date,Number of movies,Ngrams and score
1890,27,"[['film' 0.560291236373907]
 ['game' 0.33474595081385405]
 ['corbett' 0.3218384143641878]
 ['congress' 0.28370420213896574]
 ['boxing' 0.26915680013502585]
 ['minute' 0.26628243564041776]
 ['match' 0.2639895237602143]
 ['james corbett' 0.2639895237602143]
 ['james' 0.2639895237602143]
 ['courtney' 0.2639895237602143]]"
1900,97,"[['film' 0.8911372845321145]
 ['girl' 0.5903976614931935]
 ['pedro' 0.5161087452811864]
 ['man' 0.45785082989799103]
 ['gets' 0.4256656414136983]
 ['shot' 0.4055180659147379]
 ['scenes' 0.3864351623396371]
 ['new' 0.35982517039622675]
 ['children' 0.3337252624155038]
 ['mr' 0.3334959991905071]]"
1910,2006,"[['charlie' 4.121386558126792]
 ['man' 2.9120037012088043]
 ['love' 2.8750229241267515]
 ['girl' 2.8320076938408802]
 ['father' 2.8213086975156156]
 ['film' 2.8199715956174085]
 ['wife' 2.6299119496943724]
 ['woman' 2.601849507520175]
 ['young' 2.418907461500959]
 ['daughter' 2.417350923669764]]"
1920,1970,"[['film' 5.516689565448275]
 ['love' 5.488100970641813]
 ['man' 5.333573491627032]
 ['father' 5.0316139588873465]
 ['girl' 4.852377998656168]
 ['young' 4.736097094104348]
 ['gang' 4.650365691688658]
 ['wife' 4.402690628370494]
 ['mary' 3.887666349092015]
 ['woman' 3.860680109683558]]"
1930,2728,"[['betty' 15.139668142357966]
 ['man' 10.223587726415307]
 ['love' 10.116201335735482]
 ['father' 9.814384028625348]
 ['new' 9.164239965492705]
 ['gang' 8.71319795165019]
 ['film' 8.260066262748596]
 ['wife' 7.729901822475986]
 ['tells' 7.55585498816343]
 ['young' 7.532714353994356]]"
1940,2359,"[['tom' 11.619107621166043]
 ['man' 10.23947792641117]
 ['bugs' 10.133868203144148]
 ['war' 9.163752076396996]
 ['jerry' 9.139343894405302]
 ['film' 8.836798214509795]
 ['love' 8.795897154642818]
 ['new' 8.516084635527182]
 ['daffy' 7.9359884446881015]
 ['wife' 7.827930736794916]]"
1950,2606,"[['tom' 22.83657136396228]
 ['jerry' 16.7212330313161]
 ['bugs' 14.26941727922553]
 ['man' 10.545976507543292]
 ['new' 9.74028030095291]
 ['love' 9.5568481076269]
 ['father' 9.2305977146167]
 ['joe' 8.895242586690614]
 ['wife' 8.872311784564378]
 ['film' 8.70587780618545]]"
1960,2272,"[['man' 10.970067793221855]
 ['film' 9.990617219819331]
 ['wife' 8.936945696697434]
 ['panther' 8.462113833193817]
 ['father' 8.312426208026249]
 ['young' 8.180375616444609]
 ['new' 7.851513359588508]
 ['home' 7.822665534534335]
 ['woman' 7.545079157477422]
 ['love' 7.2529869669225775]]"
1970,2641,"[['film' 12.934862131858]
 ['man' 11.591533784303596]
 ['life' 10.37327207886115]
 ['family' 10.276657585844221]
 ['new' 9.815744756526456]
 ['father' 9.696931661699054]
 ['young' 9.498739166269816]
 ['wife' 9.137814807339382]
 ['woman' 8.99267441651236]
 ['love' 8.94487207337177]]"
1980,3311,"[['film' 18.030115881547445]
 ['father' 16.081774745595133]
 ['family' 14.850037757230162]
 ['new' 14.837662155675657]
 ['man' 14.463665348324188]
 ['life' 14.05744949507211]
 ['mother' 13.72301596688476]
 ['love' 13.286542749613162]
 ['police' 13.058574627974336]
 ['house' 12.9485219267856]]"
1990,4887,"[['father' 26.47078485980824]
 ['film' 26.016910941451894]
 ['family' 25.716258986105576]
 ['life' 23.02460498131594]
 ['new' 22.611390903133525]
 ['love' 22.515353171018383]
 ['mother' 21.53609193623364]
 ['man' 20.975113012416152]
 ['time' 19.768330113921053]
 ['police' 19.28885377012503]]"
2000,10718,"[['film' 58.70262256711114]
 ['father' 56.141669379033374]
 ['life' 52.059351238158335]
 ['love' 51.945931955085506]
 ['family' 51.1638708865041]
 ['mother' 46.17505866938588]
 ['man' 46.14132775822406]
 ['new' 43.27179625988914]
 ['time' 42.50360744541367]
 ['house' 40.147615444944186]]"
2010,3750,"[['film' 24.050704750183673]
 ['life' 21.16203550395229]
 ['father' 20.236738020775366]
 ['love' 19.832245434126804]
 ['family' 18.562839271354452]
 ['story' 16.974720193927777]
 ['man' 16.09016920290576]
 ['new' 15.286262305642623]
 ['mother' 14.982621897161655]
 ['tells' 14.360717312631085]]"
