Movie release date,Number of movies,top 10 1grams
1900,10,"[(('chimmie',), 5), (('shows',), 3), (('sketch',), 2), (('man',), 2), (('racing',), 2), (('race',), 2), (('place',), 2), (('horse',), 2), (('money',), 2), (('begins',), 2)]"
1901,11,"[(('press',), 3), (('two',), 2), (('shot',), 2), (('towards',), 2), (('tree',), 2), (('agent',), 2), (('lasting',), 1), (('just',), 1), (('seconds',), 1), (('consisting',), 1)]"
1902,2,[]
1903,3,"[(('bandits',), 5), (('train',), 5), (('two',), 2), (('telegraph',), 2), (('force',), 2), (('operator',), 2), (('fill',), 2), (('water',), 2), (('tries',), 2), (('scene',), 2)]"
1905,2,"[(('children',), 2), (('leaves',), 2), (('scenes',), 1), (('introduced',), 1), (('using',), 1), (('lines',), 1), (('finishes',), 1), (('work',), 1), (('city',), 1), (('household',), 1)]"
1906,2,[]
1907,2,[]
1908,22,"[(('pedro',), 6), (('jekyll',), 4), (('mexican',), 3), (('hyde',), 3), (('girl',), 3), (('new',), 2), (('man',), 2), (('film',), 2), (('town',), 2), (('going',), 2)]"
1909,33,"[(('gets',), 4), (('two',), 3), (('king',), 2), (('use',), 2), (('sends',), 2), (('film',), 2), (('flirts',), 2), (('woman',), 2), (('face',), 2), (('bar',), 2)]"
1910,33,"[(('monster',), 10), (('frankenstein',), 8), (('before',), 7), (('after',), 6), (('sweetheart',), 5), (('into',), 5), (('returns',), 4), (('only',), 4), (('one',), 4), (('not',), 4)]"
1911,69,"[(('young',), 2), (('woman',), 2), (('children',), 2), (('set',), 1), (('century',), 1), (('classic',), 1), (('story',), 1), (('hester',), 1), (('prynne',), 1), (('forced',), 1)]"
1912,94,"[(('after',), 6), (('man',), 6), (('parker',), 6), (('one',), 4), (('gray',), 4), (('geronimo',), 4), (('old',), 4), (('army',), 3), (('mollie',), 3), (('money',), 3)]"
1913,202,"[(('into',), 14), (('after',), 10), (('film',), 8), (('becomes',), 7), (('indians',), 7), (('this',), 6), (('off',), 6), (('them',), 6), (('husband',), 6), (('child',), 5)]"
1914,299,"[(('charlie',), 33), (('into',), 25), (('woman',), 17), (('wife',), 15), (('one',), 14), (('chaplin',), 14), (('love',), 13), (('cinderella',), 13), (('this',), 13), (('gets',), 13)]"
1915,334,"[(('man',), 16), (('after',), 15), (('poe',), 15), (('two',), 14), (('film',), 11), (('one',), 11), (('into',), 11), (('jane',), 11), (('beppo',), 11), (('young',), 10)]"
1916,274,"[(('new',), 14), (('peppina',), 13), (('one',), 11), (('ann',), 11), (('into',), 9), (('wife',), 9), (('count',), 9), (('after',), 9), (('now',), 8), (('film',), 8)]"
1917,186,"[(('angela',), 16), (('love',), 14), (('new',), 14), (('jimmie',), 13), (('tramp',), 13), (('into',), 12), (('french',), 12), (('young',), 11), (('father',), 10), (('woman',), 10)]"
1918,175,"[(('after',), 20), (('young',), 17), (('one',), 17), (('film',), 15), (('john',), 15), (('back',), 14), (('mary',), 14), (('only',), 13), (('been',), 13), (('takes',), 11)]"
1919,189,"[(('two',), 14), (('mavis',), 12), (('duke',), 11), (('all',), 9), (('them',), 9), (('into',), 9), (('film',), 9), (('mary',), 9), (('gloria',), 9), (('after',), 8)]"
1920,162,"[(('pollyanna',), 23), (('one',), 19), (('into',), 18), (('jekyll',), 18), (('after',), 15), (('young',), 15), (('film',), 14), (('aunt',), 14), (('man',), 13), (('not',), 13)]"
1921,138,"[(('into',), 31), (('after',), 27), (('man',), 19), (('woman',), 19), (('film',), 18), (('buster',), 18), (('sheik',), 18), (('not',), 17), (('one',), 16), (('father',), 15)]"
1922,132,"[(('after',), 29), (('into',), 24), (('get',), 22), (('tess',), 20), (('all',), 17), (('amos',), 16), (('one',), 15), (('tries',), 14), (('been',), 14), (('love',), 13)]"
1923,165,"[(('after',), 31), (('into',), 28), (('marie',), 27), (('not',), 23), (('jean',), 22), (('gang',), 21), (('one',), 20), (('get',), 19), (('them',), 16), (('mckay',), 15)]"
1924,161,"[(('john',), 70), (('after',), 43), (('mary',), 39), (('into',), 38), (('millie',), 34), (('paul',), 33), (('mcteague',), 31), (('nicholas',), 30), (('dorothy',), 28), (('back',), 27)]"
1925,184,"[(('love',), 34), (('after',), 33), (('cesar',), 31), (('into',), 30), (('back',), 26), (('off',), 25), (('not',), 23), (('christine',), 23), (('falls',), 19), (('phantom',), 19)]"
1926,163,"[(('after',), 28), (('not',), 26), (('one',), 22), (('into',), 20), (('them',), 19), (('johnnie',), 19), (('before',), 18), (('love',), 17), (('back',), 17), (('kiki',), 15)]"
1927,172,"[(('after',), 34), (('into',), 33), (('maggie',), 29), (('two',), 27), (('not',), 25), (('joe',), 25), (('love',), 24), (('stan',), 24), (('takes',), 23), (('man',), 23)]"
1928,177,"[(('after',), 54), (('into',), 47), (('one',), 36), (('not',), 34), (('go',), 34), (('stan',), 33), (('love',), 32), (('ollie',), 32), (('off',), 30), (('two',), 28)]"
