Movie release date,Number of movies,top 20 3grams
1900,87,"[(('suggested', 'grande', 'king'), 1), (('grande', 'king', 'constructs'), 1), (('king', 'constructs', 'windowless'), 1), (('constructs', 'windowless', 'himself'), 1), (('windowless', 'himself', 'not'), 1), (('himself', 'not', 'faithful'), 1), (('not', 'faithful', 'consorts'), 1), (('faithful', 'consorts', 'court'), 1), (('consorts', 'court', 'use'), 1), (('court', 'use', 'new'), 1), (('use', 'new', 'play'), 1), (('new', 'play', 'chamber'), 1), (('play', 'chamber', 'king'), 1), (('chamber', 'king', 'discovers'), 1), (('king', 'discovers', 'sends'), 1), (('discovers', 'sends', 'faithless'), 1), (('sends', 'faithless', 'duo'), 1), (('faithless', 'duo', 'still'), 1), (('duo', 'still', 'masons'), 1), (('still', 'masons', 'use'), 1)]"
1910,1855,"[(('new', 'york', 'times'), 13), (('york', 'times', 'review'), 8), (('times', 'review', 'summary'), 5), (('fairy', 'godmother', 'changes'), 3), (('live', 'happily', 'ever'), 3), (('classic', 'movies', 'synopsis'), 3), (('story', 'involves', 'arbuckle'), 3), (('new', 'york', 'city'), 3), (('film', 'takes', 'place'), 3), (('beautiful', 'young', 'woman'), 2), (('young', 'girl', 'lives'), 2), (('fairy', 'godmother', 'appears'), 2), (('orders', 'bring', 'biggest'), 2), (('godmother', 'changes', 'them'), 2), (('changes', 'them', 'into'), 2), (('prince', 'charming', 'immediately'), 2), (('charlie', 'over', 'head'), 2), (('makes', 'its', 'way'), 2), (('take', 'long', 'before'), 2), (('defeats', 'de', 'bois'), 2)]"
1920,1674,"[(('york', 'times', 'overview'), 5), (('meets', 'falls', 'love'), 5), (('new', 'york', 'city'), 5), (('new', 'york', 'times'), 5), (('film', 'takes', 'place'), 3), (('gets', 'into', 'argument'), 3), (('tries', 'force', 'himself'), 3), (('grannis', 'miss', 'baker'), 3), (('falls', 'love', 'young'), 3), (('come', 'new', 'york'), 3), (('american', 'civil', 'war'), 3), (('world', 'war', 'i'), 3), (('american', 'film', 'institute'), 3), (('film', 'institute', 'catalog'), 3), (('fall', 'love', 'get'), 2), (('falls', 'madly', 'love'), 2), (('sneaks', 'into', 'room'), 2), (('little', 'rich', 'girl'), 2), (('not', 'seem', 'notice'), 2), (('not', 'believe', 'claim'), 2)]"
1930,2853,"[(('new', 'york', 'city'), 29), (('world', 'war', 'i'), 14), (('during', 'world', 'war'), 13), (('immediately', 'falls', 'love'), 6), (('just', 'time', 'save'), 6), (('little', 'red', 'riding'), 6), (('gets', 'into', 'fight'), 5), (('meets', 'falls', 'love'), 5), (('french', 'foreign', 'legion'), 5), (('returns', 'new', 'york'), 5), (('film', 'takes', 'place'), 5), (('story', 'takes', 'place'), 5), (('lady', 'de', 'winter'), 5), (('spend', 'more', 'time'), 5), (('academy', 'award', 'best'), 5), (('arrive', 'just', 'time'), 5), (('pooch', 'girl', 'coonhound'), 5), (('found', 'guilty', 'sentenced'), 4), (('breaks', 'off', 'engagement'), 4), (('british', 'secret', 'service'), 4)]"
1940,2750,"[(('during', 'world', 'war'), 43), (('new', 'york', 'city'), 38), (('world', 'war', 'ii'), 37), (('after', 'world', 'war'), 12), (('world', 'war', 'i'), 11), (('royal', 'air', 'force'), 10), (('van', 'der', 'lyn'), 9), (('east', 'side', 'kids'), 8), (('holmes', 'movies', 'isbn'), 8), (('yap', 'yap', 'yap'), 8), (('tom', 'chases', 'jerry'), 8), (('red', 'riding', 'hood'), 7), (('mammy', 'two', 'shoes'), 6), (('end', 'world', 'war'), 6), (('professor', 'scarecrow', 'blackbird'), 6), (('army', 'air', 'forces'), 6), (('attack', 'pearl', 'harbor'), 5), (('david', 'holmes', 'movies'), 5), (('film', 'flashes', 'back'), 5), (('start', 'new', 'life'), 5)]"
1950,2382,"[(('world', 'war', 'ii'), 29), (('new', 'york', 'city'), 28), (('during', 'world', 'war'), 25), (('tawt', 'i', 'taw'), 11), (('after', 'world', 'war'), 8), (('i', 'taw', 'puddy'), 7), (('end', 'world', 'war'), 7), (('meets', 'falls', 'love'), 6), (('until', 'road', 'runner'), 6), (('world', 'war', 'i'), 6), (('rides', 'into', 'town'), 6), (('tries', 'force', 'himself'), 6), (('because', 'did', 'not'), 6), (('police', 'arrive', 'arrest'), 6), (('begins', 'fall', 'love'), 6), (('united', 'states', 'air'), 5), (('no', 'one', 'else'), 5), (('tom', 'catches', 'jerry'), 5), (('tom', 'chases', 'jerry'), 5), (('spends', 'most', 'time'), 5)]"
1960,1709,"[(('new', 'york', 'city'), 31), (('during', 'world', 'war'), 16), (('world', 'war', 'ii'), 12), (('samuel', 'beckett', 'p'), 8), (('film', 'takes', 'place'), 7), (('gets', 'into', 'fight'), 7), (('matt', 'sir', 'humphrey'), 6), (('receives', 'phone', 'call'), 5), (('spend', 'more', 'time'), 5), (('start', 'new', 'life'), 5), (('look', 'look', 'look'), 5), (('eric', 'von', 'zipper'), 5), (('final', 'scene', 'shows'), 5), (('story', 'takes', 'place'), 5), (('major', 'von', 'klemment'), 5), (('damned', 'life', 'samuel'), 5), (('life', 'samuel', 'beckett'), 5), (('collected', 'shorter', 'plays'), 5), (('shorter', 'plays', 'samuel'), 5), (('plays', 'samuel', 'beckett'), 5)]"
1970,2160,"[(('new', 'york', 'city'), 50), (('during', 'world', 'war'), 17), (('world', 'war', 'ii'), 16), (('united', 'states', 'army'), 10), (('gets', 'into', 'fight'), 7), (('no', 'one', 'ever'), 6), (('new', 'york', 'times'), 6), (('film', 'takes', 'place'), 6), (('decides', 'go', 'back'), 6), (('final', 'scene', 'shows'), 6), (('cannot', 'bring', 'himself'), 5), (('returns', 'new', 'york'), 5), (('get', 'back', 'into'), 5), (('make', 'one', 'last'), 5), (('world', 'war', 'i'), 5), (('back', 'new', 'york'), 5), (('president', 'united', 'states'), 5), (('over', 'next', 'few'), 5), (('story', 'takes', 'place'), 5), (('king', 'koo', 'koo'), 5)]"
1980,3107,"[(('new', 'york', 'city'), 75), (('world', 'war', 'ii'), 24), (('during', 'world', 'war'), 23), (('film', 'takes', 'place'), 19), (('high', 'school', 'student'), 15), (('receives', 'phone', 'call'), 14), (('final', 'scene', 'shows'), 13), (('united', 'states', 'army'), 11), (('one', 'last', 'time'), 11), (('meets', 'falls', 'love'), 10), (('president', 'united', 'states'), 9), (('make', 'look', 'like'), 9), (('not', 'long', 'after'), 9), (('matters', 'into', 'own'), 9), (('years', 'after', 'events'), 8), (('too', 'late', 'stop'), 8), (('los', 'angeles', 'police'), 8), (('did', 'not', 'want'), 8), (('over', 'next', 'few'), 8), (('film', 'revolves', 'around'), 8)]"
1990,4568,"[(('new', 'york', 'city'), 70), (('film', 'takes', 'place'), 17), (('final', 'scene', 'shows'), 15), (('receives', 'phone', 'call'), 15), (('de', 'la', 'vega'), 15), (('grand', 'high', 'witch'), 14), (('over', 'next', 'few'), 14), (('los', 'angeles', 'police'), 14), (('start', 'new', 'life'), 14), (('during', 'world', 'war'), 14), (('spend', 'more', 'time'), 13), (('matters', 'into', 'own'), 13), (('world', 'war', 'ii'), 13), (('one', 'last', 'time'), 13), (('president', 'united', 'states'), 13), (('years', 'after', 'events'), 12), (('film', 'revolves', 'around'), 11), (('plot', 'revolves', 'around'), 11), (('no', 'one', 'else'), 11), (('new', 'york', 'times'), 11)]"
