Movie release date,Number of movies,top 10 2grams
1900,87,"[(('press', 'agent'), 2), (('hyde', 'takes'), 2), (('suggested', 'grande'), 1), (('grande', 'king'), 1), (('king', 'constructs'), 1), (('constructs', 'windowless'), 1), (('windowless', 'himself'), 1), (('himself', 'not'), 1), (('not', 'faithful'), 1), (('faithful', 'consorts'), 1)]"
1910,1855,"[(('new', 'york'), 31), (('falls', 'love'), 25), (('york', 'times'), 13), (('young', 'man'), 9), (('fairy', 'godmother'), 8), (('times', 'review'), 8), (('molly', 'o'), 8), (('young', 'woman'), 7), (('peach', 'tree'), 7), (('chaplin', 'plays'), 6)]"
1920,1674,"[(('falls', 'love'), 47), (('new', 'york'), 37), (('young', 'man'), 18), (('returns', 'home'), 17), (('two', 'men'), 17), (('young', 'woman'), 17), (('stan', 'ollie'), 17), (('world', 'war'), 15), (('fallen', 'love'), 13), (('even', 'though'), 13)]"
1930,2853,"[(('new', 'york'), 167), (('falls', 'love'), 100), (('stan', 'ollie'), 51), (('world', 'war'), 49), (('even', 'though'), 44), (('tries', 'get'), 43), (('judge', 'priest'), 39), (('not', 'only'), 38), (('just', 'before'), 37), (('after', 'being'), 37)]"
1940,2750,"[(('world', 'war'), 158), (('new', 'york'), 149), (('falls', 'love'), 86), (('back', 'into'), 55), (('two', 'men'), 53), (('runs', 'into'), 51), (('united', 'states'), 48), (('no', 'longer'), 48), (('even', 'though'), 48), (('once', 'again'), 47)]"
1950,2382,"[(('new', 'york'), 140), (('road', 'runner'), 108), (('world', 'war'), 100), (('falls', 'love'), 94), (('back', 'into'), 66), (('just', 'before'), 63), (('united', 'states'), 57), (('two', 'men'), 55), (('runs', 'into'), 55), (('no', 'longer'), 51)]"
1960,1709,"[(('new', 'york'), 108), (('charlie', 'brown'), 57), (('world', 'war'), 50), (('back', 'into'), 47), (('falls', 'love'), 43), (('united', 'states'), 41), (('no', 'one'), 34), (('no', 'longer'), 34), (('not', 'only'), 33), (('road', 'runner'), 33)]"
1970,2160,"[(('new', 'york'), 172), (('united', 'states'), 66), (('los', 'angeles'), 54), (('after', 'being'), 50), (('york', 'city'), 50), (('young', 'man'), 47), (('no', 'longer'), 46), (('world', 'war'), 44), (('not', 'only'), 43), (('there', 'no'), 41)]"
1980,3107,"[(('new', 'york'), 282), (('high', 'school'), 162), (('united', 'states'), 115), (('after', 'being'), 112), (('los', 'angeles'), 97), (('back', 'into'), 96), (('falls', 'love'), 77), (('york', 'city'), 75), (('no', 'longer'), 75), (('not', 'only'), 72)]"
1990,4568,"[(('new', 'york'), 373), (('high', 'school'), 189), (('after', 'being'), 182), (('los', 'angeles'), 162), (('no', 'longer'), 139), (('back', 'into'), 133), (('did', 'not'), 129), (('runs', 'into'), 128), (('united', 'states'), 127), (('best', 'friend'), 126)]"
2000,8286,"[(('new', 'york'), 548), (('high', 'school'), 398), (('after', 'being'), 299), (('did', 'not'), 267), (('united', 'states'), 248), (('back', 'into'), 245), (('no', 'longer'), 237), (('no', 'one'), 236), (('best', 'friend'), 226), (('runs', 'into'), 208)]"
2010,1771,"[(('new', 'york'), 122), (('high', 'school'), 90), (('after', 'being'), 78), (('no', 'longer'), 63), (('best', 'friend'), 60), (('back', 'into'), 59), (('go', 'back'), 55), (('los', 'angeles'), 51), (('no', 'one'), 50), (('did', 'not'), 48)]"
