Movie release date,Number of movies,top 10 3grams
1900,10,"[(('film', 'silent', 'character'), 1), (('silent', 'character', 'sketch'), 1), (('character', 'sketch', 'shows'), 1), (('sketch', 'shows', 'chimmie'), 1), (('shows', 'chimmie', 'hicks'), 1), (('chimmie', 'hicks', 'imitating'), 1), (('hicks', 'imitating', 'man'), 1), (('imitating', 'man', 'races'), 1), (('man', 'races', 'winning'), 1), (('races', 'winning', 'filmed'), 1)]"
1901,11,"[(('lasting', 'just', 'seconds'), 1), (('just', 'seconds', 'consisting'), 1), (('seconds', 'consisting', 'two'), 1), (('consisting', 'two', 'first'), 1), (('two', 'first', 'shot'), 1), (('first', 'shot', 'set'), 1), (('shot', 'set', 'wood'), 1), (('set', 'wood', 'during'), 1), (('wood', 'during', 'actor'), 1), (('during', 'actor', 'representing'), 1)]"
1902,2,[]
1903,3,"[(('film', 'opens', 'two'), 1), (('opens', 'two', 'masked'), 1), (('two', 'masked', 'bandits'), 1), (('masked', 'bandits', 'breaking'), 1), (('bandits', 'breaking', 'into'), 1), (('breaking', 'into', 'railroad'), 1), (('into', 'railroad', 'telegraph'), 1), (('railroad', 'telegraph', 'force'), 1), (('telegraph', 'force', 'operator'), 1), (('force', 'operator', 'gunpoint'), 1)]"
1905,2,"[(('scenes', 'introduced', 'using'), 1), (('introduced', 'using', 'lines'), 1), (('using', 'lines', 'finishes'), 1), (('lines', 'finishes', 'work'), 1), (('finishes', 'work', 'children'), 1), (('work', 'children', 'city'), 1), (('children', 'city', 'household'), 1), (('city', 'household', 'hang'), 1), (('household', 'hang', 'stockings'), 1), (('hang', 'stockings', 'go'), 1)]"
1906,2,[]
1907,2,[]
1908,22,"[(('beggar', 'receives', 'new'), 1), (('receives', 'new', 'limb'), 1), (('new', 'limb', 'strange'), 1), (('limb', 'strange', 'store'), 1), (('strange', 'store', 'specializes'), 1), (('store', 'specializes', 'human'), 1), (('specializes', 'human', 'new'), 1), (('human', 'new', 'arm'), 1), (('new', 'arm', 'mind'), 1), (('arm', 'mind', 'its'), 1)]"
1909,33,"[(('suggested', 'grande', 'king'), 1), (('grande', 'king', 'constructs'), 1), (('king', 'constructs', 'windowless'), 1), (('constructs', 'windowless', 'himself'), 1), (('windowless', 'himself', 'not'), 1), (('himself', 'not', 'faithful'), 1), (('not', 'faithful', 'consorts'), 1), (('faithful', 'consorts', 'court'), 1), (('consorts', 'court', 'use'), 1), (('court', 'use', 'new'), 1)]"
1910,33,"[(('settler', 'dakotas', 'gets'), 1), (('dakotas', 'gets', 'word'), 1), (('gets', 'word', 'inherit'), 1), (('word', 'inherit', 'large'), 1), (('inherit', 'large', 'native'), 1), (('large', 'native', 'american'), 1), (('native', 'american', 'wife'), 1), (('american', 'wife', 'believing'), 1), (('wife', 'believing', 'lose'), 1), (('believing', 'lose', 'husband'), 1)]"
1911,69,"[(('set', 'century', 'classic'), 1), (('century', 'classic', 'story'), 1), (('classic', 'story', 'young'), 1), (('story', 'young', 'hester'), 1), (('young', 'hester', 'prynne'), 1), (('hester', 'prynne', 'forced'), 1), (('prynne', 'forced', 'puritan'), 1), (('forced', 'puritan', 'community'), 1), (('puritan', 'community', 'wear'), 1), (('community', 'wear', 'scarlet'), 1)]"
1912,94,"[(('army', 'indians', 'sign'), 1), (('indians', 'sign', 'peace'), 1), (('sign', 'peace', 'group'), 1), (('peace', 'group', 'surveyors'), 1), (('group', 'surveyors', 'trespass'), 1), (('surveyors', 'trespass', 'land'), 1), (('trespass', 'land', 'violate'), 1), (('land', 'violate', 'army'), 1), (('violate', 'army', 'refuses'), 1), (('army', 'refuses', 'listen'), 1)]"
1913,202,"[(('defeats', 'de', 'bois'), 2), (('set', 'late', 'century'), 1), (('late', 'century', 'this'), 1), (('century', 'this', 'silent'), 1), (('this', 'silent', 'adventure'), 1), (('silent', 'adventure', 'filled'), 1), (('adventure', 'filled', 'pageantry'), 1), (('filled', 'pageantry', 'excitement'), 1), (('pageantry', 'excitement', 'chronicles'), 1), (('excitement', 'chronicles', 'love'), 1)]"
1914,299,"[(('fairy', 'godmother', 'changes'), 3), (('fairy', 'godmother', 'appears'), 2), (('orders', 'bring', 'biggest'), 2), (('godmother', 'changes', 'them'), 2), (('changes', 'them', 'into'), 2), (('prince', 'charming', 'immediately'), 2), (('charlie', 'over', 'head'), 2), (('new', 'york', 'under'), 2), (('esra', 'kincaid', 'takes'), 1), (('kincaid', 'takes', 'land'), 1)]"
1915,334,"[(('makes', 'its', 'way'), 2), (('missing', 'link', 'goes'), 2), (('fatty', 'plays', 'somewhat'), 1), (('plays', 'somewhat', 'lazy'), 1), (('somewhat', 'lazy', 'young'), 1), (('lazy', 'young', 'man'), 1), (('young', 'man', 'disrupts'), 1), (('man', 'disrupts', 'life'), 1), (('disrupts', 'life', 'causing'), 1), (('life', 'causing', 'fire'), 1)]"
1916,274,"[(('new', 'york', 'times'), 3), (('york', 'times', 'review'), 2), (('curse', 'still', 'upon'), 2), (('set', 'plot', 'centered'), 1), (('plot', 'centered', 'around'), 1), (('centered', 'around', 'man'), 1), (('around', 'man', 'falsely'), 1), (('man', 'falsely', 'accused'), 1), (('falsely', 'accused', 'side'), 1), (('accused', 'side', 'door'), 1)]"
1917,186,"[(('new', 'york', 'times'), 7), (('york', 'times', 'review'), 6), (('times', 'review', 'summary'), 5), (('beautiful', 'young', 'woman'), 2), (('falls', 'love', 'son'), 2), (('small', 'town', 'youth'), 1), (('town', 'youth', 'jimmie'), 1), (('youth', 'jimmie', 'bates'), 1), (('jimmie', 'bates', 'troubled'), 1), (('bates', 'troubled', 'jimmie'), 1)]"
1918,175,"[(('new', 'york', 'times'), 2), (('back', 'into', 'hostess'), 2), (('boyfriend', 'proposes', 'roberta'), 1), (('proposes', 'roberta', 'confinced'), 1), (('roberta', 'confinced', 'stole'), 1), (('confinced', 'stole', 'jewelry'), 1), (('stole', 'jewelry', 'proposed'), 1), (('jewelry', 'proposed', 'know'), 1), (('proposed', 'know', 'boyfriend'), 1), (('know', 'boyfriend', 'informed'), 1)]"
1919,189,"[(('gloria', 'du', 'moine'), 2), (('peach', 'tree', 'inn'), 2), (('cult', 'hindu', 'tiger'), 1), (('hindu', 'tiger', 'worshippers'), 1), (('tiger', 'worshippers', 'gang'), 1), (('worshippers', 'gang', 'western'), 1), (('gang', 'western', 'outlaws'), 1), (('western', 'outlaws', 'outlaws'), 1), (('outlaws', 'outlaws', 'attempt'), 1), (('outlaws', 'attempt', 'cheat'), 1)]"
1920,162,"[(('young', 'jim', 'hawkins'), 2), (('silent', 'criminal', 'leader'), 1), (('criminal', 'leader', 'san'), 1), (('leader', 'san', 'gangster'), 1), (('san', 'gangster', 'daughter'), 1), (('gangster', 'daughter', 'molly'), 1), (('daughter', 'molly', 'forsaken'), 1), (('molly', 'forsaken', 'life'), 1), (('forsaken', 'life', 'crime'), 1), (('life', 'crime', 'after'), 1)]"
1921,138,"[(('richard', 'come', 'home'), 2), (('why', 'girls', 'leave'), 2), (('bump', 'into', 'oliver'), 2), (('father', 'monsieur', 'grandet'), 2), (('billy', 'jenks', 'leaves'), 1), (('jenks', 'leaves', 'small'), 1), (('leaves', 'small', 'town'), 1), (('small', 'town', 'find'), 1), (('town', 'find', 'success'), 1), (('find', 'success', 'new'), 1)]"
1922,132,"[(('chauffer', 'gets', 'tire'), 2), (('tess', 'sneaks', 'into'), 2), (('sapt', 'von', 'tarlenheim'), 2), (('short', 'period', 'zareda'), 2), (('wealthy', 'pennington', 'van'), 1), (('pennington', 'van', 'upon'), 1), (('van', 'upon', 'hearing'), 1), (('upon', 'hearing', 'rival'), 1), (('hearing', 'rival', 'gathering'), 1), (('rival', 'gathering', 'decides'), 1)]"
1923,165,"[(('film', 'takes', 'place'), 2), (('fall', 'love', 'get'), 2), (('gang', 'wreaks', 'havoc'), 2), (('count', 'del', 'ferice'), 2), (('taken', 'santa', 'giovanna'), 2), (('old', 'school', 'teacher'), 2), (('small', 'town', 'girl'), 2), (('takes', 'place', 'durung'), 1), (('place', 'durung', 'reign'), 1), (('durung', 'reign', 'paul'), 1)]"
1924,161,"[(('york', 'times', 'overview'), 5), (('grannis', 'miss', 'baker'), 3), (('after', 'mcteague', 'trina'), 2), (('into', 'death', 'valley'), 2), (('solid', 'gold', 'dining'), 2), (('gold', 'dining', 'maria'), 2), (('nicholas', 'heads', 'back'), 2), (('films', 'opens', 'mary'), 1), (('opens', 'mary', 'carlton'), 1), (('mary', 'carlton', 'depressed'), 1)]"
1925,184,"[(('meets', 'falls', 'love'), 3), (('little', 'rich', 'girl'), 2), (('new', 'york', 'city'), 2), (('general', 'de', 'muro'), 2), (('archduke', 'summons', 'cesar'), 2), (('assures', 'townspeople', 'seen'), 2), (('transforms', 'back', 'into'), 2), (('boys', 'showing', 'off'), 1), (('showing', 'off', 'dogs'), 1), (('off', 'dogs', 'each'), 1)]"
1926,163,"[(('associates', 'canterac', 'pirovani'), 2), (('during', 'world', 'war'), 2), (('vicomte', 'paul', 'comes'), 2), (('soon', 'falls', 'love'), 2), (('dona', 'bernarda', 'brull'), 2), (('la', 'brunna', 'returns'), 2), (('film', 'story', 'spy'), 1), (('story', 'spy', 'confederacy'), 1), (('spy', 'confederacy', 'during'), 1), (('confederacy', 'during', 'civil'), 1)]"
1927,172,"[(('used', 'bind', 'wrists'), 2), (('love', 'two', 'young'), 2), (('meets', 'falls', 'love'), 2), (('newlywed', 'carl', 'goes'), 1), (('carl', 'goes', 'war'), 1), (('goes', 'war', 'endures'), 1), (('war', 'endures', 'major'), 1), (('endures', 'major', 'back'), 1), (('major', 'back', 'wife'), 1), (('back', 'wife', 'pauli'), 1)]"
1928,177,"[(('falls', 'madly', 'love'), 2), (('first', 'world', 'war'), 2), (('andreas', 'forced', 'into'), 2), (('film', 'centers', 'around'), 2), (('begins', 'fall', 'love'), 2), (('enough', 'money', 'send'), 2), (('top', 'falls', 'off'), 2), (('tito', 'traveling', 'circus'), 1), (('traveling', 'circus', 'abandoned'), 1), (('circus', 'abandoned', 'child'), 1)]"
1929,220,"[(('not', 'seem', 'notice'), 2), (('turns', 'inspector', 'killian'), 2), (('old', 'abandoned', 'house'), 2), (('cruel', 'head', 'guard'), 2), (('sister', 'mary', 'ann'), 2), (('madame', 'de', 'sylva'), 2), (('falls', 'love', 'young'), 2), (('selling', 'hot', 'dogs'), 2), (('huge', 'art', 'deco'), 2), (('british', 'regiment', 'fires'), 1)]"
1930,220,"[(('during', 'world', 'war'), 4), (('story', 'takes', 'place'), 3), (('louis', 'dannemora', 'dan'), 2), (('engaged', 'married', 'prince'), 2), (('tries', 'commit', 'suicide'), 2), (('stan', 'ollie', 'playing'), 2), (('ollie', 'playing', 'game'), 2), (('spends', 'more', 'time'), 2), (('miss', 'crabtree', 'goes'), 2), (('king', 'louis', 'xi'), 2)]"
1931,263,"[(('french', 'foreign', 'legion'), 3), (('falls', 'love', 'young'), 3), (('confess', 'love', 'one'), 2), (('man', 'gets', 'into'), 2), (('very', 'much', 'like'), 2), (('them', 'return', 'them'), 2), (('chain', 'store', 'officials'), 2), (('betty', 'boop', 'bimbo'), 2), (('new', 'york', 'city'), 2), (('only', 'living', 'person'), 2)]"
1932,282,"[(('new', 'york', 'city'), 8), (('world', 'war', 'i'), 4), (('during', 'world', 'war'), 4), (('public', 'outcry', 'forces'), 2), (('north', 'side', 'gangs'), 2), (('oswald', 'girl', 'beagle'), 2), (('count', 'de', 'savignac'), 2), (('returns', 'new', 'york'), 2), (('during', 'young', 'man'), 2), (('force', 'way', 'into'), 2)]"
1933,285,"[(('pooch', 'girl', 'coonhound'), 5), (('new', 'york', 'city'), 4), (('old', 'man', 'betty'), 3), (('great', 'movie', 'sound'), 2), (('larry', 'visited', 'max'), 2), (('want', 'no', 'more'), 2), (('diavolo', 'once', 'again'), 2), (('hand', 'grabbing', 'nose'), 2), (('only', 'run', 'into'), 2), (('lights', 'go', 'off'), 2)]"
1934,300,"[(('judge', 'priest', 'asks'), 4), (('little', 'red', 'riding'), 3), (('judge', 'priest', 'goes'), 3), (('elli', 'judge', 'priest'), 3), (('lefarge', 'del', 'val'), 2), (('naive', 'young', 'man'), 2), (('big', 'bad', 'wolf'), 2), (('red', 'riding', 'hood'), 2), (('convicted', 'murder', 'sentenced'), 2), (('goes', 'well', 'until'), 2)]"
1935,299,"[(('lady', 'de', 'winter'), 5), (('chief', 'white', 'eagle'), 4), (('spud', 'smiley', 'able'), 3), (('new', 'york', 'city'), 3), (('marietta', 'captain', 'warrington'), 3), (('tracks', 'them', 'down'), 2), (('just', 'time', 'save'), 2), (('also', 'sneaks', 'into'), 2), (('general', 'store', 'owner'), 2), (('top', 'eiffel', 'tower'), 2)]"
1936,311,"[(('new', 'york', 'city'), 3), (('mineral', 'springs', 'ranch'), 3), (('golden', 'gate', 'blackie'), 2), (('father', 'tim', 'takes'), 2), (('county', 'welfare', 'department'), 2), (('sings', 'title', 'song'), 2), (('refuses', 'return', 'despite'), 2), (('during', 'world', 'war'), 2), (('just', 'latest', 'long'), 2), (('latest', 'long', 'line'), 2)]"
1937,313,"[(('begins', 'fall', 'love'), 2), (('even', 'though', 'there'), 2), (('back', 'into', 'snow'), 2), (('reward', 'newspaper', 'boy'), 2), (('did', 'not', 'commit'), 2), (('snow', 'white', 'into'), 2), (('find', 'snow', 'white'), 2), (('too', 'much', 'time'), 2), (('spend', 'entire', 'evening'), 2), (('captain', 'kung', 'nui'), 2)]"
1938,279,"[(('immediately', 'falls', 'love'), 4), (('christmas', 'eve', 'dance'), 4), (('ferdinand', 'de', 'lesseps'), 3), (('count', 'de', 'lesseps'), 3), (('new', 'york', 'city'), 3), (('another', 'fish', 'swallows'), 3), (('new', 'york', 'times'), 2), (('york', 'times', 'review'), 2), (('leading', 'role', 'new'), 2), (('three', 'beebe', 'brothers'), 2)]"
