Movie release date,Number of movies,top 10 2grams
The 9/11 Attacks and the War on Terrorism (2001-present),9474,"[(('new', 'york'), 627), (('high', 'school'), 459), (('after', 'being'), 357), (('did', 'not'), 293), (('back', 'into'), 290), (('no', 'longer'), 286), (('no', 'one'), 275), (('best', 'friend'), 269), (('united', 'states'), 267), (('runs', 'into'), 243)]"
The Belle Époque (1900-1914),485,"[(('hyde', 'takes'), 3), (('new', 'york'), 3), (('old', 'man'), 3), (('native', 'american'), 2), (('press', 'agent'), 2), (('sir', 'cedric'), 2), (('defeats', 'de'), 2), (('de', 'bois'), 2), (('alice', 'father'), 2), (('must', 'give'), 2)]"
The Civil Rights and Social Equality Struggles (1950s-1970s),4294,"[(('new', 'york'), 267), (('world', 'war'), 159), (('falls', 'love'), 143), (('road', 'runner'), 141), (('back', 'into'), 114), (('united', 'states'), 112), (('two', 'men'), 93), (('just', 'before'), 93), (('no', 'longer'), 91), (('not', 'only'), 84)]"
The Cold War and McCarthyism (1947-1991),3072,"[(('new', 'york'), 224), (('united', 'states'), 94), (('no', 'longer'), 76), (('after', 'being'), 72), (('world', 'war'), 71), (('los', 'angeles'), 71), (('back', 'into'), 68), (('york', 'city'), 66), (('falls', 'love'), 66), (('young', 'man'), 64)]"
The Great Depression (1929-1939),2772,"[(('new', 'york'), 159), (('falls', 'love'), 96), (('stan', 'ollie'), 59), (('even', 'though'), 43), (('world', 'war'), 43), (('tries', 'get'), 41), (('judge', 'priest'), 39), (('laurel', 'hardy'), 35), (('just', 'before'), 33), (('young', 'man'), 33)]"
The Post-Cold War and the New World Order (1991-2001),4768,"[(('new', 'york'), 381), (('high', 'school'), 199), (('after', 'being'), 186), (('los', 'angeles'), 162), (('did', 'not'), 141), (('no', 'longer'), 134), (('runs', 'into'), 131), (('best', 'friend'), 131), (('back', 'into'), 129), (('even', 'though'), 128)]"
The Reagan Years and the Rise of Neoliberalism (1980s),3107,"[(('new', 'york'), 282), (('high', 'school'), 162), (('united', 'states'), 115), (('after', 'being'), 112), (('los', 'angeles'), 97), (('back', 'into'), 96), (('falls', 'love'), 77), (('york', 'city'), 75), (('no', 'longer'), 75), (('not', 'only'), 72)]"
The Roaring Twenties (1920-1929),1454,"[(('falls', 'love'), 39), (('new', 'york'), 28), (('two', 'men'), 15), (('young', 'man'), 15), (('world', 'war'), 14), (('young', 'woman'), 14), (('even', 'though'), 13), (('returns', 'home'), 12), (('fallen', 'love'), 12), (('runs', 'into'), 12)]"
World War I (1914-1918),1268,"[(('falls', 'love'), 23), (('new', 'york'), 22), (('york', 'times'), 12), (('fairy', 'godmother'), 8), (('times', 'review'), 8), (('molly', 'o'), 8), (('young', 'man'), 7), (('young', 'woman'), 6), (('runs', 'away'), 5), (('chaplin', 'plays'), 5)]"
World War II (1939-1945),2319,"[(('world', 'war'), 133), (('new', 'york'), 130), (('falls', 'love'), 76), (('back', 'into'), 41), (('two', 'men'), 38), (('runs', 'into'), 37), (('during', 'world'), 37), (('after', 'being'), 35), (('united', 'states'), 34), (('no', 'longer'), 34)]"
