Movie release date,Number of movies,top 10 1grams
1900,87,"[(('two',), 9), (('film',), 6), (('pedro',), 6), (('bandits',), 5), (('train',), 5), (('gets',), 5), (('chimmie',), 5), (('girl',), 5), (('shot',), 4), (('man',), 4)]"
1910,1855,"[(('into',), 94), (('after',), 91), (('one',), 83), (('man',), 67), (('young',), 67), (('film',), 66), (('love',), 64), (('new',), 63), (('two',), 60), (('charlie',), 54)]"
1920,1674,"[(('after',), 347), (('into',), 313), (('not',), 233), (('love',), 216), (('one',), 205), (('back',), 173), (('them',), 165), (('two',), 164), (('this',), 159), (('man',), 156)]"
1930,2853,"[(('after',), 1053), (('into',), 1021), (('not',), 807), (('one',), 679), (('them',), 644), (('new',), 623), (('get',), 551), (('all',), 548), (('back',), 532), (('been',), 500)]"
1940,2750,"[(('into',), 1508), (('after',), 1402), (('not',), 991), (('one',), 903), (('them',), 783), (('back',), 734), (('new',), 722), (('all',), 700), (('this',), 650), (('two',), 644)]"
1950,2382,"[(('into',), 1777), (('after',), 1671), (('not',), 1127), (('tom',), 992), (('one',), 986), (('them',), 888), (('back',), 887), (('all',), 749), (('been',), 744), (('new',), 744)]"
1960,1709,"[(('into',), 1237), (('after',), 1144), (('one',), 855), (('not',), 719), (('them',), 654), (('back',), 653), (('two',), 599), (('all',), 598), (('this',), 543), (('new',), 520)]"
1970,2160,"[(('into',), 1484), (('after',), 1479), (('one',), 1043), (('not',), 963), (('them',), 958), (('two',), 785), (('new',), 691), (('back',), 682), (('all',), 679), (('this',), 632)]"
1980,3107,"[(('into',), 2979), (('after',), 2868), (('one',), 1877), (('them',), 1817), (('not',), 1648), (('back',), 1549), (('two',), 1391), (('new',), 1235), (('all',), 1227), (('before',), 1135)]"
1990,4568,"[(('after',), 4940), (('into',), 4327), (('one',), 2977), (('not',), 2970), (('them',), 2817), (('back',), 2288), (('two',), 2257), (('new',), 2077), (('all',), 1985), (('this',), 1939)]"
2000,8286,"[(('after',), 8264), (('into',), 7305), (('not',), 5373), (('one',), 5085), (('them',), 4919), (('back',), 4014), (('two',), 3706), (('all',), 3602), (('this',), 3556), (('new',), 3470)]"
2010,1771,"[(('after',), 1949), (('into',), 1598), (('them',), 1193), (('not',), 1165), (('one',), 989), (('back',), 911), (('two',), 793), (('find',), 791), (('before',), 764), (('get',), 742)]"
