Movie release date,top 10 2grams
1880,[]
1890,"[(('each', 'round'), 3), (('three', 'men'), 2), (('playing', 'cards'), 2), (('filmed', 'stationary'), 2), (('either', 'side'), 2), (('metal', 'rod'), 2), (('only', 'this'), 2), (('stationary', 'camera'), 2), (('members', 'audience'), 2), (('walks', 'onto'), 2)]"
1900,"[(('again', 'shows'), 2), (('starts', 'fire'), 2), (('press', 'agent'), 2), (('young', 'women'), 2), (('man', 'enters'), 2), (('considered', 'lost'), 2), (('going', 'local'), 2), (('them', 'their'), 2), (('film', 'begins'), 2), (('moves', 'itself'), 2)]"
1910,"[(('falls', 'love'), 53), (('new', 'york'), 37), (('young', 'man'), 19), (('film', 'guide'), 14), (('feature', 'film'), 14), (('runs', 'away'), 13), (('york', 'times'), 13), (('pike', 'ross'), 13), (('ross', 'australian'), 13), (('australian', 'film'), 13)]"
1920,"[(('falls', 'love'), 74), (('young', 'man'), 46), (('young', 'woman'), 44), (('new', 'york'), 37), (('returns', 'home'), 23), (('two', 'men'), 22), (('one', 'day'), 21), (('world', 'war'), 21), (('back', 'into'), 17), (('fallen', 'love'), 17)]"
1930,"[(('new', 'york'), 173), (('falls', 'love'), 146), (('world', 'war'), 70), (('their', 'own'), 55), (('even', 'though'), 53), (('stan', 'ollie'), 51), (('not', 'only'), 49), (('after', 'being'), 47), (('tries', 'get'), 47), (('young', 'man'), 43)]"
1940,"[(('world', 'war'), 209), (('new', 'york'), 150), (('falls', 'love'), 129), (('back', 'into'), 66), (('runs', 'into'), 61), (('no', 'longer'), 60), (('young', 'woman'), 58), (('two', 'men'), 57), (('even', 'though'), 56), (('after', 'being'), 55)]"
1950,"[(('falls', 'love'), 166), (('new', 'york'), 151), (('world', 'war'), 146), (('road', 'runner'), 116), (('back', 'into'), 88), (('just', 'before'), 77), (('two', 'men'), 74), (('runs', 'into'), 72), (('this', 'time'), 67), (('did', 'not'), 67)]"
1960,"[(('falls', 'love'), 164), (('new', 'york'), 132), (('world', 'war'), 105), (('young', 'woman'), 100), (('young', 'man'), 94), (('one', 'day'), 78), (('back', 'into'), 78), (('pink', 'panther'), 74), (('after', 'being'), 72), (('their', 'way'), 72)]"
1970,"[(('new', 'york'), 194), (('falls', 'love'), 171), (('one', 'day'), 135), (('their', 'own'), 110), (('world', 'war'), 100), (('young', 'woman'), 100), (('after', 'being'), 94), (('young', 'man'), 90), (('their', 'way'), 88), (('two', 'men'), 88)]"
1980,"[(('new', 'york'), 319), (('falls', 'love'), 250), (('high', 'school'), 192), (('one', 'day'), 189), (('after', 'being'), 157), (('united', 'states'), 135), (('young', 'man'), 134), (('back', 'into'), 133), (('their', 'own'), 129), (('did', 'not'), 125)]"
1990,"[(('new', 'york'), 424), (('falls', 'love'), 368), (('one', 'day'), 262), (('after', 'being'), 247), (('high', 'school'), 220), (('their', 'way'), 209), (('no', 'longer'), 198), (('young', 'man'), 198), (('did', 'not'), 196), (('their', 'own'), 192)]"
2000,"[(('falls', 'love'), 677), (('new', 'york'), 648), (('one', 'day'), 601), (('high', 'school'), 560), (('did', 'not'), 497), (('after', 'being'), 492), (('their', 'own'), 481), (('no', 'longer'), 426), (('no', 'one'), 423), (('best', 'friend'), 418)]"
2010,"[(('falls', 'love'), 172), (('new', 'york'), 160), (('one', 'day'), 136), (('after', 'being'), 132), (('their', 'own'), 127), (('high', 'school'), 126), (('their', 'way'), 113), (('did', 'not'), 109), (('no', 'longer'), 108), (('no', 'one'), 105)]"
