Movie release date,Number of movies,top 10 2grams
1888,1,[]
1889,1,[]
1890,2,[]
1891,3,[]
1892,3,[]
1893,1,"[(('metal', 'rod'), 2), (('scene', 'all'), 1), (('all', 'filmed'), 1), (('filmed', 'stationary'), 1), (('stationary', 'screen'), 1), (('screen', 'large'), 1), (('large', 'anvil'), 1), (('anvil', 'blacksmith'), 1), (('blacksmith', 'behind'), 1), (('behind', 'one'), 1)]"
1894,10,"[(('james', 'corbett'), 2), (('after', 'finding'), 1), (('finding', 'father'), 1), (('father', 'suffering'), 1), (('suffering', 'financial'), 1), (('financial', 'jerry'), 1), (('jerry', 'holbrook'), 1), (('holbrook', 'decides'), 1), (('decides', 'start'), 1), (('start', 'career'), 1)]"
1895,19,"[(('stationary', 'camera'), 2), (('film', 'consists'), 2), (('into', 'water'), 2), (('while', 'man'), 2), (('photographers', 'leave'), 1), (('leave', 'deck'), 1), (('deck', 'riverboat'), 1), (('riverboat', 'large'), 1), (('large', 'background'), 1), (('background', 'bridge'), 1)]"
1896,54,"[(('playing', 'cards'), 2), (('blanket', 'over'), 2), (('bill', 'poster'), 2), (('three', 'men'), 1), (('men', 'sitting'), 1), (('sitting', 'two'), 1), (('two', 'them'), 1), (('them', 'playing'), 1), (('cards', 'while'), 1), (('while', 'third'), 1)]"
1897,19,"[(('each', 'round'), 3), (('woman', 'calls'), 1), (('calls', 'help'), 1), (('help', 'window'), 1), (('window', 'two'), 1), (('two', 'burglars'), 1), (('burglars', 'climb'), 1), (('climb', 'over'), 1), (('over', 'roofs'), 1), (('roofs', 'into'), 1)]"
1898,26,"[(('comes', 'life'), 2), (('transformed', 'into'), 2), (('satan', 'then'), 2), (('moon', 'appears'), 2), (('appears', 'astronomer'), 2), (('into', 'its'), 2), (('magician', 'then'), 2), (('transform', 'into'), 2), (('film', 'contains'), 1), (('contains', 'footage'), 1)]"
1899,12,"[(('cab', 'stopped'), 1), (('stopped', 'man'), 1), (('man', 'several'), 1), (('several', 'people'), 1), (('people', 'driven'), 1), (('driven', 'another'), 1), (('another', 'part'), 1), (('part', 'clown'), 1), (('clown', 'jumps'), 1), (('jumps', 'cab'), 1)]"
1900,33,"[(('again', 'shows'), 2), (('old', 'gentleman'), 1), (('gentleman', 'shown'), 1), (('shown', 'village'), 1), (('village', 'looking'), 1), (('looking', 'something'), 1), (('something', 'through'), 1), (('through', 'field'), 1), (('field', 'levels'), 1), (('levels', 'glass'), 1)]"
1901,23,"[(('press', 'agent'), 2), (('lasting', 'just'), 1), (('just', 'seconds'), 1), (('seconds', 'consisting'), 1), (('consisting', 'two'), 1), (('two', 'first'), 1), (('first', 'shot'), 1), (('shot', 'set'), 1), (('set', 'wood'), 1), (('wood', 'during'), 1)]"
1902,7,"[(('chemist', 'laboratory'), 1), (('laboratory', 'places'), 1), (('places', 'upon'), 1), (('upon', 'table'), 1), (('table', 'own'), 1), (('own', 'then'), 1), (('then', 'fixing'), 1), (('fixing', 'upon'), 1), (('upon', 'head'), 1), (('head', 'rubber'), 1)]"
1903,13,"[(('tries', 'light'), 2), (('light', 'pipe'), 2), (('candlestick', 'rises'), 2), (('restores', 'everything'), 2), (('falls', 'upon'), 2), (('through', 'casement'), 2), (('drunken', 'fellow'), 2), (('couple', 'elope'), 1), (('elope', 'wealthy'), 1), (('wealthy', 'father'), 1)]"
1904,1,"[(('geographic', 'society'), 1), (('society', 'proposes'), 1), (('proposes', 'travel'), 1), (('travel', 'around'), 1), (('around', 'many'), 1), (('many', 'vehicles'), 1), (('vehicles', 'made'), 1), (('made', 'this'), 1), (('this', 'including'), 1), (('including', 'railway'), 1)]"
1905,9,"[(('bather', 'willy'), 1), (('willy', 'policeman'), 1), (('policeman', 'not'), 1), (('not', 'appreciative'), 1), (('appreciative', 'trouble'), 1), (('trouble', 'witnessed'), 1), (('witnessed', 'growing'), 1), (('growing', 'bather'), 1), (('bather', 'tries'), 1), (('tries', 'escape'), 1)]"
