Movie release date,Number of movies,top 10 3grams
1888,1,[]
1889,1,[]
1890,2,[]
1891,3,[]
1892,3,[]
1893,1,"[(('scene', 'all', 'filmed'), 1), (('all', 'filmed', 'stationary'), 1), (('filmed', 'stationary', 'screen'), 1), (('stationary', 'screen', 'large'), 1), (('screen', 'large', 'anvil'), 1), (('large', 'anvil', 'blacksmith'), 1), (('anvil', 'blacksmith', 'behind'), 1), (('blacksmith', 'behind', 'one'), 1), (('behind', 'one', 'either'), 1), (('one', 'either', 'side'), 1)]"
1894,10,"[(('after', 'finding', 'father'), 1), (('finding', 'father', 'suffering'), 1), (('father', 'suffering', 'financial'), 1), (('suffering', 'financial', 'jerry'), 1), (('financial', 'jerry', 'holbrook'), 1), (('jerry', 'holbrook', 'decides'), 1), (('holbrook', 'decides', 'start'), 1), (('decides', 'start', 'career'), 1), (('start', 'career', 'journalism'), 1), (('career', 'journalism', 'heart'), 1)]"
1895,19,"[(('photographers', 'leave', 'deck'), 1), (('leave', 'deck', 'riverboat'), 1), (('deck', 'riverboat', 'large'), 1), (('riverboat', 'large', 'background'), 1), (('large', 'background', 'bridge'), 1), (('background', 'bridge', 'seen'), 1), (('bridge', 'seen', 'spanning'), 1), (('seen', 'spanning', 'video'), 1), (('spanning', 'video', 'covers'), 1), (('video', 'covers', 'group'), 1)]"
1896,54,"[(('three', 'men', 'sitting'), 1), (('men', 'sitting', 'two'), 1), (('sitting', 'two', 'them'), 1), (('two', 'them', 'playing'), 1), (('them', 'playing', 'cards'), 1), (('playing', 'cards', 'while'), 1), (('cards', 'while', 'third'), 1), (('while', 'third', 'smokes'), 1), (('third', 'smokes', 'reads'), 1), (('smokes', 'reads', 'man'), 1)]"
1897,19,"[(('woman', 'calls', 'help'), 1), (('calls', 'help', 'window'), 1), (('help', 'window', 'two'), 1), (('window', 'two', 'burglars'), 1), (('two', 'burglars', 'climb'), 1), (('burglars', 'climb', 'over'), 1), (('climb', 'over', 'roofs'), 1), (('over', 'roofs', 'into'), 1), (('roofs', 'into', 'tie'), 1), (('into', 'tie', 'throw'), 1)]"
1898,26,"[(('film', 'contains', 'footage'), 1), (('contains', 'footage', 'baseball'), 1), (('footage', 'baseball', 'game'), 1), (('baseball', 'game', 'between'), 1), (('game', 'between', 'reading'), 1), (('between', 'reading', 'phillies'), 1), (('reading', 'phillies', 'newark'), 1), (('phillies', 'newark', 'camera'), 1), (('newark', 'camera', 'situated'), 1), (('camera', 'situated', 'twenty'), 1)]"
1899,12,"[(('cab', 'stopped', 'man'), 1), (('stopped', 'man', 'several'), 1), (('man', 'several', 'people'), 1), (('several', 'people', 'driven'), 1), (('people', 'driven', 'another'), 1), (('driven', 'another', 'part'), 1), (('another', 'part', 'clown'), 1), (('part', 'clown', 'jumps'), 1), (('clown', 'jumps', 'cab'), 1), (('jumps', 'cab', 'gets'), 1)]"
1900,33,"[(('old', 'gentleman', 'shown'), 1), (('gentleman', 'shown', 'village'), 1), (('shown', 'village', 'looking'), 1), (('village', 'looking', 'something'), 1), (('looking', 'something', 'through'), 1), (('something', 'through', 'field'), 1), (('through', 'field', 'levels'), 1), (('field', 'levels', 'glass'), 1), (('levels', 'glass', 'young'), 1), (('glass', 'young', 'couple'), 1)]"
1901,23,"[(('lasting', 'just', 'seconds'), 1), (('just', 'seconds', 'consisting'), 1), (('seconds', 'consisting', 'two'), 1), (('consisting', 'two', 'first'), 1), (('two', 'first', 'shot'), 1), (('first', 'shot', 'set'), 1), (('shot', 'set', 'wood'), 1), (('set', 'wood', 'during'), 1), (('wood', 'during', 'actor'), 1), (('during', 'actor', 'representing'), 1)]"
1902,7,"[(('chemist', 'laboratory', 'places'), 1), (('laboratory', 'places', 'upon'), 1), (('places', 'upon', 'table'), 1), (('upon', 'table', 'own'), 1), (('table', 'own', 'then'), 1), (('own', 'then', 'fixing'), 1), (('then', 'fixing', 'upon'), 1), (('fixing', 'upon', 'head'), 1), (('upon', 'head', 'rubber'), 1), (('head', 'rubber', 'tube'), 1)]"
