Movie release date,Number of movies,top 10 3grams
1903,13,"[(('tries', 'light', 'pipe'), 2), (('couple', 'elope', 'wealthy'), 1), (('elope', 'wealthy', 'father'), 1), (('wealthy', 'father', 'gives'), 1), (('father', 'gives', 'limousine'), 1), (('gives', 'limousine', 'breaks'), 1), (('limousine', 'breaks', 'arrives'), 1), (('breaks', 'arrives', 'too'), 1), (('arrives', 'too', 'late'), 1), (('too', 'late', 'prevent'), 1)]"
1904,1,"[(('geographic', 'society', 'proposes'), 1), (('society', 'proposes', 'travel'), 1), (('proposes', 'travel', 'around'), 1), (('travel', 'around', 'many'), 1), (('around', 'many', 'vehicles'), 1), (('many', 'vehicles', 'made'), 1), (('vehicles', 'made', 'this'), 1), (('made', 'this', 'including'), 1), (('this', 'including', 'railway'), 1), (('including', 'railway', 'box'), 1)]"
1905,9,"[(('bather', 'willy', 'policeman'), 1), (('willy', 'policeman', 'not'), 1), (('policeman', 'not', 'appreciative'), 1), (('not', 'appreciative', 'trouble'), 1), (('appreciative', 'trouble', 'witnessed'), 1), (('trouble', 'witnessed', 'growing'), 1), (('witnessed', 'growing', 'bather'), 1), (('growing', 'bather', 'tries'), 1), (('bather', 'tries', 'escape'), 1), (('tries', 'escape', 'disguising'), 1)]"
1906,11,"[(('story', 'kelly', 'gangs'), 1), (('kelly', 'gangs', 'tone'), 1), (('gangs', 'tone', 'depicting'), 1), (('tone', 'depicting', 'ned'), 1), (('depicting', 'ned', 'kelly'), 1), (('ned', 'kelly', 'last'), 1), (('kelly', 'last', 'friends'), 1), (('last', 'friends', 'dan'), 1), (('friends', 'dan', 'steve'), 1), (('dan', 'steve', 'hart'), 1)]"
1907,24,"[(('two', 'big', 'game'), 1), (('big', 'game', 'hunters'), 1), (('game', 'hunters', 'safari'), 1), (('hunters', 'safari', 'jungle'), 1), (('safari', 'jungle', 'their'), 1), (('jungle', 'their', 'african'), 1), (('their', 'african', 'observe'), 1), (('african', 'observe', 'ostrich'), 1), (('observe', 'ostrich', 'catch'), 1), (('ostrich', 'catch', 'small'), 1)]"
1908,31,"[(('beggar', 'receives', 'new'), 1), (('receives', 'new', 'limb'), 1), (('new', 'limb', 'strange'), 1), (('limb', 'strange', 'store'), 1), (('strange', 'store', 'specializes'), 1), (('store', 'specializes', 'human'), 1), (('specializes', 'human', 'new'), 1), (('human', 'new', 'arm'), 1), (('new', 'arm', 'mind'), 1), (('arm', 'mind', 'its'), 1)]"
1909,41,"[(('suggested', 'grande', 'king'), 1), (('grande', 'king', 'constructs'), 1), (('king', 'constructs', 'windowless'), 1), (('constructs', 'windowless', 'himself'), 1), (('windowless', 'himself', 'not'), 1), (('himself', 'not', 'faithful'), 1), (('not', 'faithful', 'consorts'), 1), (('faithful', 'consorts', 'court'), 1), (('consorts', 'court', 'use'), 1), (('court', 'use', 'new'), 1)]"
1910,44,"[(('frederick', 'ward', 'cattle'), 1), (('ward', 'cattle', 'drover'), 1), (('cattle', 'drover', 'earning'), 1), (('drover', 'earning', 'money'), 1), (('earning', 'money', 'wedding'), 1), (('money', 'wedding', 'accused'), 1), (('wedding', 'accused', 'cattle'), 1), (('accused', 'cattle', 'theft'), 1), (('cattle', 'theft', 'sentenced'), 1), (('theft', 'sentenced', 'seven'), 1)]"
1911,137,"[(('pike', 'ross', 'australian'), 5), (('ross', 'australian', 'film'), 5), (('australian', 'film', 'guide'), 5), (('film', 'guide', 'feature'), 5), (('guide', 'feature', 'film'), 5), (('feature', 'film', 'oxford'), 5), (('film', 'oxford', 'university'), 5), (('film', 'divided', 'into'), 2), (('cora', 'williams', 'destroys'), 1), (('williams', 'destroys', 'happy'), 1)]"
1912,146,"[(('pike', 'ross', 'australian'), 3), (('ross', 'australian', 'film'), 3), (('australian', 'film', 'guide'), 3), (('film', 'guide', 'feature'), 3), (('guide', 'feature', 'film'), 3), (('feature', 'film', 'oxford'), 3), (('film', 'oxford', 'university'), 3), (('years', 'later', 'philip'), 2), (('dick', 'young', 'man'), 1), (('young', 'man', 'decides'), 1)]"
1913,272,"[(('pike', 'ross', 'australian'), 3), (('ross', 'australian', 'film'), 3), (('australian', 'film', 'guide'), 3), (('film', 'guide', 'feature'), 3), (('guide', 'feature', 'film'), 3), (('feature', 'film', 'oxford'), 3), (('film', 'oxford', 'university'), 3), (('new', 'south', 'wales'), 2), (('defeats', 'de', 'bois'), 2), (('turns', 'down', 'offer'), 2)]"
1914,366,"[(('fairy', 'godmother', 'changes'), 3), (('fairy', 'godmother', 'appears'), 2), (('orders', 'bring', 'biggest'), 2), (('godmother', 'changes', 'them'), 2), (('changes', 'them', 'into'), 2), (('prince', 'charming', 'immediately'), 2), (('charlie', 'over', 'head'), 2), (('new', 'york', 'under'), 2), (('esra', 'kincaid', 'takes'), 1), (('kincaid', 'takes', 'land'), 1)]"
1915,419,"[(('makes', 'its', 'way'), 2), (('missing', 'link', 'goes'), 2), (('enlists', 'australian', 'army'), 2), (('world', 'war', 'i'), 2), (('baron', 'de', 'mortesalgues'), 2), (('fatty', 'plays', 'somewhat'), 1), (('plays', 'somewhat', 'lazy'), 1), (('somewhat', 'lazy', 'young'), 1), (('lazy', 'young', 'man'), 1), (('young', 'man', 'disrupts'), 1)]"
1916,401,"[(('new', 'york', 'times'), 3), (('york', 'times', 'review'), 2), (('curse', 'still', 'upon'), 2), (('set', 'plot', 'centered'), 1), (('plot', 'centered', 'around'), 1), (('centered', 'around', 'man'), 1), (('around', 'man', 'falsely'), 1), (('man', 'falsely', 'accused'), 1), (('falsely', 'accused', 'side'), 1), (('accused', 'side', 'door'), 1)]"
1917,309,"[(('new', 'york', 'times'), 7), (('york', 'times', 'review'), 6), (('times', 'review', 'summary'), 5), (('beautiful', 'young', 'woman'), 2), (('falls', 'love', 'son'), 2), (('small', 'town', 'youth'), 1), (('town', 'youth', 'jimmie'), 1), (('youth', 'jimmie', 'bates'), 1), (('jimmie', 'bates', 'troubled'), 1), (('bates', 'troubled', 'jimmie'), 1)]"
1918,282,"[(('new', 'york', 'times'), 2), (('teased', 'station', 'hands'), 2), (('fall', 'one', 'day'), 2), (('back', 'into', 'hostess'), 2), (('dad', 'hayseed', 'buys'), 1), (('hayseed', 'buys', 'horse'), 1), (('buys', 'horse', 'called'), 1), (('horse', 'called', 'cornstalk'), 1), (('called', 'cornstalk', 'starts'), 1), (('cornstalk', 'starts', 'winning'), 1)]"
1919,293,"[(('between', 'buckskin', 'jane'), 2), (('marches', 'two', 'men'), 2), (('into', 'indian', 'camp'), 2), (('shoe', 'cream', 'daughter'), 2), (('quaker', 'not', 'impressed'), 2), (('ossi', 'dances', 'quaker'), 2), (('gloria', 'du', 'moine'), 2), (('peach', 'tree', 'inn'), 2), (('cult', 'hindu', 'tiger'), 1), (('hindu', 'tiger', 'worshippers'), 1)]"
1920,327,"[(('i', 'am', 'master'), 2), (('am', 'master', 'this'), 2), (('spends', 'most', 'time'), 2), (('young', 'jim', 'hawkins'), 2), (('young', 'man', 'tries'), 2), (('helen', 'marries', 'young'), 1), (('marries', 'young', 'man'), 1), (('young', 'man', 'poisoned'), 1), (('man', 'poisoned', 'mind'), 1), (('poisoned', 'mind', 'against'), 1)]"
1921,272,"[(('tries', 'force', 'himself'), 2), (('returns', 'new', 'zealand'), 2), (('richard', 'come', 'home'), 2), (('why', 'girls', 'leave'), 2), (('bump', 'into', 'oliver'), 2), (('father', 'monsieur', 'grandet'), 2), (('billy', 'jenks', 'leaves'), 1), (('jenks', 'leaves', 'small'), 1), (('leaves', 'small', 'town'), 1), (('small', 'town', 'find'), 1)]"
1922,238,"[(('american', 'film', 'institute'), 2), (('film', 'institute', 'catalog'), 2), (('little', 'sister', 'farina'), 2), (('chauffer', 'gets', 'tire'), 2), (('tess', 'sneaks', 'into'), 2), (('their', 'love', 'each'), 2), (('sapt', 'von', 'tarlenheim'), 2), (('short', 'period', 'zareda'), 2), (('sensuous', 'woman', 'trapped'), 1), (('woman', 'trapped', 'loveless'), 1)]"
1923,278,"[(('film', 'takes', 'place'), 2), (('fall', 'love', 'get'), 2), (('gang', 'wreaks', 'havoc'), 2), (('count', 'del', 'ferice'), 2), (('taken', 'santa', 'giovanna'), 2), (('old', 'school', 'teacher'), 2), (('blind', 'man', 'little'), 2), (('man', 'little', 'boy'), 2), (('helps', 'blind', 'man'), 2), (('small', 'town', 'girl'), 2)]"
1924,276,"[(('york', 'times', 'overview'), 5), (('grannis', 'miss', 'baker'), 3), (('make', 'their', 'own'), 2), (('after', 'mcteague', 'trina'), 2), (('into', 'death', 'valley'), 2), (('solid', 'gold', 'dining'), 2), (('gold', 'dining', 'maria'), 2), (('nicholas', 'heads', 'back'), 2), (('films', 'opens', 'mary'), 1), (('opens', 'mary', 'carlton'), 1)]"
1925,272,"[(('meets', 'falls', 'love'), 3), (('little', 'rich', 'girl'), 2), (('new', 'york', 'city'), 2), (('general', 'de', 'muro'), 2), (('archduke', 'summons', 'cesar'), 2), (('assures', 'townspeople', 'seen'), 2), (('transforms', 'back', 'into'), 2), (('mazda', 'light', 'bulbs'), 2), (('bill', 'lawson', 'wharf'), 1), (('lawson', 'wharf', 'loses'), 1)]"
1926,281,"[(('associates', 'canterac', 'pirovani'), 2), (('falls', 'love', 'betty'), 2), (('during', 'world', 'war'), 2), (('vicomte', 'paul', 'comes'), 2), (('soon', 'falls', 'love'), 2), (('dona', 'bernarda', 'brull'), 2), (('la', 'brunna', 'returns'), 2), (('lovey', 'mary', 'runaway'), 1), (('mary', 'runaway', 'orphanage'), 1), (('runaway', 'orphanage', 'takes'), 1)]"
1927,292,"[(('not', 'rest', 'until'), 2), (('real', 'avenger', 'been'), 2), (('used', 'bind', 'wrists'), 2), (('love', 'two', 'young'), 2), (('meets', 'falls', 'love'), 2), (('act', 'shows', 'more'), 2), (('newlywed', 'carl', 'goes'), 1), (('carl', 'goes', 'war'), 1), (('goes', 'war', 'endures'), 1), (('war', 'endures', 'major'), 1)]"
1928,316,"[(('belle', 'comme', 'une'), 3), (('comme', 'une', 'fleur'), 3), (('une', 'fleur', 'de'), 3), (('falls', 'madly', 'love'), 2), (('first', 'world', 'war'), 2), (('andreas', 'forced', 'into'), 2), (('film', 'centers', 'around'), 2), (('pike', 'ross', 'australian'), 2), (('ross', 'australian', 'film'), 2), (('australian', 'film', 'guide'), 2)]"
1929,331,"[(('first', 'young', 'man'), 5), (('oswald', 'girl', 'cat'), 3), (('subsequent', 'title', 'card'), 3), (('title', 'card', 'reads'), 3), (('second', 'young', 'man'), 3), (('not', 'seem', 'notice'), 2), (('oswald', 'got', 'hands'), 2), (('turns', 'inspector', 'killian'), 2), (('old', 'abandoned', 'house'), 2), (('cruel', 'head', 'guard'), 2)]"
1930,348,"[(('during', 'world', 'war'), 4), (('story', 'takes', 'place'), 3), (('bosko', 'gets', 'thrown'), 3), (('gets', 'thrown', 'off'), 3), (('just', 'got', 'back'), 2), (('louis', 'dannemora', 'dan'), 2), (('engaged', 'married', 'prince'), 2), (('queen', 'asked', 'oswald'), 2), (('tries', 'commit', 'suicide'), 2), (('stan', 'ollie', 'playing'), 2)]"
1931,428,"[(('french', 'foreign', 'legion'), 3), (('falls', 'love', 'young'), 3), (('end', 'world', 'war'), 3), (('their', 'new', 'life'), 2), (('man', 'gets', 'into'), 2), (('very', 'much', 'like'), 2), (('their', 'love', 'each'), 2), (('not', 'any', 'one'), 2), (('krazy', 'kat', 'spaniel'), 2), (('meets', 'falls', 'love'), 2)]"
1932,441,"[(('new', 'york', 'city'), 8), (('world', 'war', 'i'), 4), (('during', 'world', 'war'), 4), (('meets', 'falls', 'love'), 3), (('public', 'outcry', 'forces'), 2), (('north', 'side', 'gangs'), 2), (('no', 'choice', 'go'), 2), (('oswald', 'girl', 'beagle'), 2), (('their', 'pit', 'bull'), 2), (('count', 'de', 'savignac'), 2)]"
1933,461,"[(('oswald', 'girl', 'beagle'), 8), (('pooch', 'girl', 'coonhound'), 5), (('new', 'york', 'city'), 4), (('world', 'war', 'i'), 3), (('devotee', 'lord', 'krishna'), 3), (('old', 'man', 'betty'), 3), (('great', 'movie', 'their'), 2), (('movie', 'their', 'sound'), 2), (('larry', 'visited', 'max'), 2), (('want', 'no', 'more'), 2)]"
1934,501,"[(('oswald', 'boy', 'beagle'), 4), (('judge', 'priest', 'asks'), 4), (('little', 'red', 'riding'), 3), (('judge', 'priest', 'goes'), 3), (('elli', 'judge', 'priest'), 3), (('lefarge', 'del', 'val'), 2), (('naive', 'young', 'man'), 2), (('big', 'bad', 'wolf'), 2), (('red', 'riding', 'hood'), 2), (('convicted', 'murder', 'sentenced'), 2)]"
1935,510,"[(('lady', 'de', 'winter'), 5), (('chief', 'white', 'eagle'), 4), (('just', 'time', 'save'), 3), (('spud', 'smiley', 'able'), 3), (('new', 'york', 'city'), 3), (('marietta', 'captain', 'warrington'), 3), (('film', 'then', 'cuts'), 2), (('tracks', 'them', 'down'), 2), (('also', 'sneaks', 'into'), 2), (('film', 'wei', 'ming'), 2)]"
1936,558,"[(('new', 'york', 'city'), 4), (('plot', 'revolves', 'around'), 3), (('their', 'ham', 'ex'), 3), (('mineral', 'springs', 'ranch'), 3), (('during', 'world', 'war'), 3), (('golden', 'gate', 'blackie'), 2), (('father', 'tim', 'takes'), 2), (('county', 'welfare', 'department'), 2), (('while', 'ham', 'ex'), 2), (('sings', 'title', 'song'), 2)]"
1937,548,"[(('begins', 'fall', 'love'), 3), (('two', 'machine', 'guns'), 3), (('puerto', 'rico', 'fever'), 3), (('de', 'boeldieu', 'maréchal'), 3), (('even', 'though', 'still'), 2), (('even', 'though', 'there'), 2), (('back', 'into', 'snow'), 2), (('peter', 'piper', 'pickled'), 2), (('drawers', 'alarm', 'clock'), 2), (('alarm', 'clock', 'goes'), 2)]"
1938,518,"[(('immediately', 'falls', 'love'), 4), (('christmas', 'eve', 'dance'), 4), (('ferdinand', 'de', 'lesseps'), 3), (('count', 'de', 'lesseps'), 3), (('new', 'york', 'city'), 3), (('another', 'fish', 'swallows'), 3), (('new', 'york', 'times'), 2), (('york', 'times', 'review'), 2), (('secret', 'service', 'agent'), 2), (('rallies', 'common', 'people'), 2)]"
1939,487,"[(('world', 'war', 'i'), 4), (('new', 'york', 'city'), 4), (('walking', 'down', 'street'), 3), (('been', 'having', 'affair'), 3), (('american', 'civil', 'war'), 2), (('no', 'one', 'knows'), 2), (('emmy', 'hank', 'team'), 2), (('british', 'secret', 'service'), 2), (('taking', 'unexpected', 'turn'), 2), (('makes', 'no', 'effort'), 2)]"
1940,498,"[(('duc', 'de', 'praslin'), 4), (('dead', 'end', 'kids'), 4), (('sobbing', 'bugs', 'then'), 2), (('fire', 'captain', 'viking'), 2), (('sees', 'newspaper', 'announcement'), 2), (('van', 'meer', 'being'), 2), (('mima', 'really', 'loves'), 2), (('offers', 'them', 'reward'), 2), (('new', 'de', 'winter'), 2), (('de', 'winter', 'rushes'), 2)]"
1941,471,"[(('new', 'york', 'city'), 5), (('world', 'war', 'i'), 5), (('royal', 'air', 'force'), 4), (('patsy', 'miss', 'prottle'), 4), (('glenn', 'miller', 'orchestra'), 4), (('nazi', 'cinema', 'isbn'), 3), (('during', 'world', 'war'), 3), (('sugar', 'bowl', 'ski'), 3), (('their', 'way', 'into'), 2), (('one', 'step', 'ahead'), 2)]"
1942,505,"[(('new', 'york', 'city'), 9), (('during', 'world', 'war'), 9), (('professor', 'scarecrow', 'blackbird'), 6), (('east', 'side', 'kids'), 6), (('world', 'war', 'ii'), 5), (('royal', 'air', 'force'), 5), (('make', 'their', 'way'), 3), (('second', 'world', 'war'), 3), (('into', 'world', 'war'), 3), (('la', 'libre', 'belgique'), 3)]"
1943,464,"[(('during', 'world', 'war'), 9), (('world', 'war', 'ii'), 7), (('first', 'two', 'pigs'), 3), (('meets', 'falls', 'love'), 3), (('ronald', 'character', 'plays'), 3), (('character', 'plays', 'decisive'), 3), (('during', 'second', 'world'), 3), (('second', 'world', 'war'), 3), (('chinese', 'guerrillas', 'fighting'), 2), (('holmes', 'movies', 'isbn'), 2)]"
1944,396,"[(('van', 'der', 'lyn'), 9), (('yap', 'yap', 'yap'), 8), (('during', 'world', 'war'), 7), (('sir', 'frederick', 'lady'), 5), (('frederick', 'lady', 'jane'), 5), (('world', 'war', 'ii'), 5), (('new', 'york', 'city'), 3), (('red', 'hot', 'ryder'), 3), (('two', 'plainclothes', 'men'), 3), (('holmes', 'movies', 'isbn'), 3)]"
1945,385,"[(('during', 'world', 'war'), 11), (('world', 'war', 'ii'), 8), (('make', 'their', 'way'), 5), (('then', 'red', 'cat'), 5), (('new', 'york', 'city'), 3), (('manager', 'then', 'chases'), 3), (('old', 'orchard', 'road'), 3), (('mammy', 'two', 'shoes'), 3), (('little', 'yellow', 'duck'), 3), (('end', 'world', 'war'), 2)]"
1946,381,"[(('world', 'war', 'ii'), 6), (('after', 'world', 'war'), 6), (('new', 'york', 'city'), 5), (('start', 'new', 'life'), 4), (('during', 'world', 'war'), 4), (('world', 'war', 'i'), 3), (('porky', 'chases', 'daffy'), 3), (('takes', 'all', 'money'), 3), (('over', 'over', 'over'), 3), (('takes', 'strong', 'dislike'), 2)]"
1947,412,"[(('new', 'york', 'city'), 6), (('during', 'world', 'war'), 5), (('scat', 'hot', 'lips'), 3), (('bruce', 'almsbury', 'return'), 3), (('meets', 'old', 'friend'), 2), (('back', 'forth', 'tom'), 2), (('mail', 'film', 'award'), 2), (('film', 'award', 'annual'), 2), (('film', 'story', 'two'), 2), (('trying', 'find', 'work'), 2)]"
1948,458,"[(('world', 'war', 'ii'), 8), (('pepe', 'el', 'toro'), 4), (('pedro', 'infante', 'father'), 4), (('transforms', 'into', 'wolf'), 3), (('become', 'better', 'acquainted'), 3), (('shu', 'pan', 'wu'), 3), (('priest', 'pedro', 'infante'), 3), (('being', 'held', 'against'), 3), (('scotland', 'yard', 'detective'), 2), (('cannot', 'understand', 'why'), 2)]"
1949,496,"[(('during', 'world', 'war'), 6), (('after', 'world', 'war'), 5), (('narrator', 'then', 'presents'), 4), (('world', 'war', 'ii'), 4), (('new', 'york', 'city'), 3), (('six', 'hundred', 'miles'), 3), (('hundred', 'miles', 'more'), 3), (('miles', 'more', 'go'), 3), (('film', 'story', 'young'), 2), (('into', 'narrator', 'presents'), 2)]"
1950,593,"[(('during', 'world', 'war'), 5), (('jerry', 'lion', 'then'), 3), (('tawt', 'i', 'taw'), 3), (('having', 'fallen', 'love'), 3), (('new', 'york', 'city'), 3), (('daffy', 'tries', 'stall'), 2), (('becomes', 'very', 'successful'), 2), (('matters', 'come', 'head'), 2), (('jerry', 'then', 'comes'), 2), (('help', 'get', 'then'), 2)]"
1951,619,"[(('during', 'world', 'war'), 9), (('world', 'war', 'ii'), 7), (('van', 'der', 'zee'), 4), (('get', 'back', 'into'), 3), (('twenty', 'years', 'ago'), 3), (('witch', 'doctor', 'varanu'), 2), (('new', 'york', 'city'), 2), (('into', 'doing', 'dirty'), 2), (('spending', 'more', 'more'), 2), (('world', 'war', 'their'), 2)]"
1952,643,"[(('during', 'world', 'war'), 6), (('world', 'war', 'ii'), 4), (('tom', 'chases', 'jerry'), 4), (('during', 'second', 'world'), 4), (('new', 'york', 'city'), 3), (('tom', 'chases', 'after'), 3), (('suddenly', 'spots', 'attractive'), 3), (('spots', 'attractive', 'female'), 3), (('falls', 'head', 'over'), 3), (('head', 'over', 'heels'), 3)]"
1953,558,"[(('during', 'world', 'war'), 5), (('then', 'disguises', 'himself'), 3), (('not', 'being', 'able'), 3), (('wild', 'bill', 'hickok'), 3), (('story', 'revolves', 'around'), 3), (('world', 'war', 'ii'), 3), (('pay', 'back', 'debt'), 3), (('turns', 'into', 'paul'), 3), (('wrongly', 'accused', 'crime'), 2), (('new', 'york', 'city'), 2)]"
1954,521,"[(('during', 'world', 'war'), 6), (('south', 'korean', 'pilots'), 4), (('treasure', 'long', 'john'), 3), (('long', 'john', 'men'), 3), (('new', 'york', 'city'), 3), (('using', 'van', 'dyke'), 3), (('live', 'happily', 'ever'), 2), (('give', 'me', 'your'), 2), (('me', 'your', 'right'), 2), (('evan', 'adams', 'iii'), 2)]"
1955,559,"[(('world', 'war', 'ii'), 6), (('begins', 'fall', 'love'), 4), (('de', 'la', 'marck'), 4), (('because', 'did', 'not'), 3), (('new', 'york', 'city'), 3), (('road', 'runner', 'taunts'), 3), (('loads', 'himself', 'into'), 3), (('just', 'time', 'see'), 3), (('royal', 'air', 'force'), 3), (('jim', 'dear', 'darling'), 3)]"
1956,570,"[(('world', 'war', 'ii'), 5), (('during', 'world', 'war'), 4), (('going', 'over', 'falls'), 3), (('then', 'road', 'runner'), 3), (('tawt', 'i', 'taw'), 3), (('i', 'taw', 'puddy'), 3), (('lt', 'col', 'black'), 3), (('few', 'hours', 'before'), 3), (('decide', 'let', 'them'), 2), (('over', 'falls', 'woody'), 2)]"
1957,572,"[(('world', 'war', 'ii'), 4), (('new', 'york', 'city'), 4), (('fall', 'love', 'each'), 3), (('after', 'world', 'war'), 3), (('singing', 'ringing', 'tree'), 3), (('becomes', 'romantically', 'involved'), 2), (('outbreak', 'world', 'war'), 2), (('world', 'war', 'during'), 2), (('no', 'one', 'else'), 2), (('world', 'war', 'i'), 2)]"
1958,563,"[(('during', 'world', 'war'), 7), (('world', 'war', 'ii'), 4), (('van', 'der', 'poel'), 4), (('then', 'goes', 'back'), 3), (('spends', 'most', 'time'), 3), (('story', 'revolves', 'around'), 3), (('karan', 'comes', 'know'), 3), (('not', 'long', 'before'), 3), (('himself', 'face', 'face'), 3), (('maharani', 'ranthamani', 'devi'), 3)]"
1959,525,"[(('new', 'york', 'city'), 6), (('world', 'war', 'ii'), 4), (('john', 'mehemet', 'bey'), 3), (('palace', 'music', 'hall'), 2), (('been', 'doing', 'everything'), 2), (('did', 'not', 'want'), 2), (('commanding', 'officer', 'sea'), 2), (('mr', 'van', 'leyden'), 2), (('while', 'going', 'through'), 2), (('sarah', 'jane', 'their'), 2)]"
1960,527,"[(('world', 'war', 'ii'), 4), (('make', 'their', 'way'), 4), (('new', 'york', 'city'), 4), (('during', 'second', 'world'), 3), (('plot', 'revolves', 'around'), 3), (('during', 'world', 'war'), 3), (('into', 'another', 'apartment'), 3), (('warrant', 'officer', 'panin'), 3), (('second', 'world', 'war'), 2), (('not', 'want', 'share'), 2)]"
1961,524,"[(('new', 'york', 'city'), 5), (('their', 'way', 'back'), 4), (('make', 'their', 'way'), 4), (('during', 'world', 'war'), 3), (('runs', 'back', 'into'), 3), (('road', 'road', 'runner'), 3), (('world', 'war', 'ii'), 3), (('again', 'this', 'time'), 2), (('larry', 'wally', 'abby'), 2), (('get', 'into', 'fight'), 2)]"
1962,562,"[(('during', 'world', 'war'), 5), (('look', 'look', 'look'), 5), (('chief', 'cup', 'bearer'), 4), (('new', 'york', 'city'), 4), (('jaune', 'tom', 'robespierre'), 4), (('take', 'one', 'more'), 3), (('make', 'their', 'way'), 3), (('sam', 'grabs', 'ralph'), 3), (('grabs', 'ralph', 'neck'), 3), (('not', 'knowing', 'much'), 2)]"
1963,504,"[(('seth', 'karam', 'chand'), 8), (('during', 'world', 'war'), 7), (('world', 'war', 'ii'), 5), (('reveals', 'true', 'identity'), 3), (('wile', 'coyote', 'then'), 3), (('coyote', 'then', 'tries'), 3), (('all', 'seems', 'lost'), 2), (('last', 'scene', 'shows'), 2), (('lala', 'jagannath', 'seth'), 2), (('karam', 'chand', 'already'), 2)]"
